Folder,File,Source,Description,Frequency,Start,Skip,Subject,Format
data,andrews42.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�13,1,1852,0,Agriculture,Row
data,andrews43.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�14,1,1852,0,Agriculture,Row
data,andrews44.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�15,1,1852,0,Agriculture,Row
data,andrews45.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�16,1,1852,0,Agriculture,Row
data,andrews46.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�17,1,1852,0,Agriculture,Row
data,andrews47.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�18,1,1852,0,Agriculture,Row
data,andrews48.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�19,1,1852,0,Agriculture,Row
data,andrews5.dat,Andrews & Herzberg (1985),"Annual changes in the earth�s rotation, day length (sec*10**-5) 1821-1970",1,1821,0,Physics,Row
data,andrews6.dat,Andrews & Herzberg (1985),Annual male melanoma incidence (age-adjusted per 10**5) Connecticut 1936-1972,1,1936,0,Health,Row
data,andrews7.dat,Andrews & Herzberg (1985),Annual total melanoma incidence (age-adjusted per 10**5) Connecticut 1936-1972,1,1936,0,Health,Row
data,andrews8.dat,Andrews & Herzberg (1985),Annual sunspot relative number 1936-1972,1,1836,0,Physics,Row
data,andrews9.dat,Andrews & Herzberg (1985),Monthly Canadian total unemployment figures (thousands) 1956-1975,12,1956,0,Labour market,Row
data,hirnant.dat,Andrews & Herzberg (1985),"Half-hourly precipitation and stream flow, River Hirnant, Wales, UK, November and December 1972.",,,0,Hydrology,Column
askew,askew.dat,"Askew, Yeh and Hall (1971)","Sacramento River at Keswick, California, Oct. 1939 � Sep. 1960",12,1939.75,1,Hydrology,Row
askew,askew10.dat,"Askew, Yeh and Hall (1971)","Clearwater River at Kamiah, Idaho. 1911 � 1965",12,1911,1,Hydrology,Row
askew,askew11.dat,"Askew, Yeh and Hall (1971)","Judith River near Utica, MT. 1920 � 1960",12,1920,1,Hydrology,Row
askew,askew12.dat,"Askew, Yeh and Hall (1971)","Madison River near west Yellowstone, MT. 1923 � 1960",12,1923,1,Hydrology,Row
askew,askew13.dat,"Askew, Yeh and Hall (1971)","Whiterocks River near Whiterocks, Utah, 1930 � 1960",12,1930,1,Hydrology,Row
askew,askew14.dat,"Askew, Yeh and Hall (1971)","Middle Boulder Creek at Nederland, CO. 1912 � 1960",12,1912,1,Hydrology,Row
askew,askew15.dat,"Askew, Yeh and Hall (1971)","South Platte River below Cheesman Lake, CO. 1925 � 1960",12,1925,1,Hydrology,Row
askew,askew16.dat,"Askew, Yeh and Hall (1971)","Neches River near Rockland, Texas. 1940 � 1960",12,1914,1,Hydrology,Row
askew,askew17.dat,"Askew, Yeh and Hall (1971)","Big Ford River at big falls, MN. 1929 � 1960",12,1929,1,Hydrology,Row
askew,askew18.dat,"Askew, Yeh and Hall (1971)","Skunk River at Augusta, Iowa. 1915 � Sep. 1960",12,1915,1,Hydrology,Row
askew,askew19.dat,"Askew, Yeh and Hall (1971)","Current River at Van Buren, MO. 1922 � Sep. 1960",12,1922,1,Hydrology,Row
askew,askew2.dat,"Askew, Yeh and Hall (1971)","Trinity River at Lewiston, California, Oct. 1912 � Sep. 1960",12,1912,1,Hydrology,Row
askew,askew20.dat,"Askew, Yeh and Hall (1971)","Wolf River at New London, WI. 1914 � 1960",12,1914,1,Hydrology,Row
askew,askew21.dat,"Askew, Yeh and Hall (1971)","Mad River near Springfield, OH. 1915 � Sep. 1960",12,1915,1,Hydrology,Row
askew,askew22.dat,"Askew, Yeh and Hall (1971)","West Branch Delaware River at Hale Eddy, NY. 1916 � Sep. 1960",12,1916,1,Hydrology,Row
askew,askew23.dat,"Askew, Yeh and Hall (1971)","Pemigewasset River at Plymouth, NH. 1904 � 1960",12,1904,1,Hydrology,Row
askew,askew24.dat,"Askew, Yeh and Hall (1971)","Rappahannock River near Fredericksburg, VA. 1911 � 1960",12,1911,1,Hydrology,Row
askew,askew25.dat,"Askew, Yeh and Hall (1971)","James River at Buchanan, VA. 1911 � 1960",12,1911,1,Hydrology,Row
askew,askew26.dat,"Askew, Yeh and Hall (1971)","Oostanaula River at Resaca, GA. 1893 � 1960",12,1893,1,Hydrology,Row
askew,askew3.dat,"Askew, Yeh and Hall (1971)","Feather River at Oroville, California, Oct. 1902 � Sep. 1977",12,1902,1,Hydrology,Row
askew,askew4.dat,"Askew, Yeh and Hall (1971)","American River at Fair Oaks, California, Oct. 1906 � Sep. 1960",12,1906,1,Hydrology,Row
askew,askew5.dat,"Askew, Yeh and Hall (1971)","Eel River above Dos Rios, California, Oct. 1952 � Sep. 1960",12,1952,1,Hydrology,Row
askew,askew6.dat,"Askew, Yeh and Hall (1971)","Rock Creek at Little Round Valley, NR. Bishop, California, Sep. 1960",12,1960,1,Hydrology,Row
askew,askew7.dat,"Askew, Yeh and Hall (1971)","McKenzie River at McKenzie Bridge, Oregon, Oct. 1911 � Sep. 1960",12,1960,1,Hydrology,Row
askew,askew8.dat,"Askew, Yeh and Hall (1971)","S. F. Skykomish River near Index, Washington, Oct. 1923 � Sep. 1960",12,1960,1,Hydrology,Row
askew,askew9.dat,"Askew, Yeh and Hall (1971)","Boise River near Twin Springs, Idaho, Oct. 1912 � Sep. 1960",12,1960,1,Hydrology,Row
data,maxtemp.dat,Australian Bureau of Meteorology,Mean maximum temperature in Melbourne: degrees C. Jan 71 � Dec 90.,12,1971,0,Meteorology,Row
data,melbmax.dat,Australian Bureau of Meteorology,"Daily maximum temperatures in Melbourne, Australia, 1981-1990",365,1981,0,Meteorology,Row
data,melbmin.dat,Australian Bureau of Meteorology,"Daily minimum temperatures in Melbourne, Australia, 1981-1990",365,1981,0,Meteorology,Row
data,rainfall.dat,Australian Bureau of Meteorology,"Daily rainfall in Melbourne, Australia, 1981-1990",365,1981,0,Meteorology,Row
data,awem.dat,Australian Bureau of Statistics,"Col 1: Quarterly average weekly male earnings in Australia, all industries. Col 2: CPI for same quarters. Col 3: Col 1 * 100 / Col 2 = real average weekly male earnings. March 1956 � March 1991",4,1956,0,Macroeconomic,Column
data,bappq.dat,Australian Bureau of Statistics,Total building and construction activity in Australia: approvals each quarter in $m at 1989/90 prices. Sep 1973 � Mar 1995,4,1973.75,0,Production,Row
data,basiron.dat,Australian Bureau of Statistics,Monthly basic iron production in Australia: thousand tonnes. Jan 1956 � Aug 1995,12,1956,0,Production,Row
data,basironq.dat,Australian Bureau of Statistics,Basic quarterly iron production in Australia: thousand tonnes. Mar 1956 � Sep 1994,4,1956,0,Production,Row
data,beer.dat,Australian Bureau of Statistics,Monthly beer production in Australia: megalitres. Includes ale and stout. Does not include beverages with alcohol percentage less than 1.15. Jan 1956 � Aug 1995,12,1956,0,Production,Row
data,beerq.dat,Australian Bureau of Statistics,Quarterly beer production in Australia: megalitres. March 1956 � June 1994,4,1956,0,Production,Row
data,blmoldq.dat,Australian Bureau of Statistics,Quarterly production of blooms and slabs in Australia: thousand tonnes. Old definition. Mar 1956 � Mar 1992,4,1956,0,Production,Row
data,bloomold.dat,Australian Bureau of Statistics,Monthly production of blooms and slabs in Australia: thousand tonnes. Old definition. Jan 1956 � May 1994,12,1956,0,Production,Row
data,blooms.dat,Australian Bureau of Statistics,Monthly production of blooms and slabs in Australia: thousand tonnes. New definition. Jan 1956 � Aug 1995,12,1956,0,Production,Row
data,bricks.dat,Australian Bureau of Statistics,Monthly production of clay bricks: million units. Jan 1956 � Aug 1995,12,1956,0,Production,Row
data,bricksq.dat,Australian Bureau of Statistics,Quarterly production of clay bricks: million units. Mar 1956 � Sep 1994,4,1956,0,Production,Row
data,bworkq.dat,Australian Bureau of Statistics,Total building and construction activity in Australia: value of work done in $m at 1989/90 prices. Sep 1976 � Mar 1994.,4,1976.75,0,Production,Row
data,capexg.dat,Australian Bureau of Statistics,"Quarterly gross fixed capital expenditure � public, Australia: millions of dollars, 1989/90 prices. Sep 1959 � Jun 1995",4,1959.75,0,Macroeconomic,Row
data,capexp.dat,Australian Bureau of Statistics,"Quarterly final consumption expenditure � total private Australia: millions of dollars, 1989/90 prices. Sep 1959 � Jun 1995",4,1959.75,0,Macroeconomic,Row
data,capexpdw.dat,Australian Bureau of Statistics,"Quarterly gross fixed capital expenditure � private dwellings, Australia: millions of dollars, 1984/85 prices. Sep 1959 � Sep 1992",4,1959.75,0,Macroeconomic,Row
data,capexpeq.dat,Australian Bureau of Statistics,"Quarterly gross fixed capital expenditure � private equipment, Australia: millions of dollars, 1984/85 prices. Sep 1959 � Mar 1991",4,1959.75,0,Macroeconomic,Row
data,capexpnd.dat,Australian Bureau of Statistics,"Quarterly gross fixed capital expenditure � private non-dwelling construction, Australia: millions of dollars, 1984/85 prices. Sep 1959 � Mar 1991",4,1959.75,0,Macroeconomic,Row
data,capexpre.dat,Australian Bureau of Statistics,"Quarterly gross fixed capital expenditure � private real estate transactions, Australia: millions of dollars, 1984/85 prices. Sep 1959 � Mar 1991",4,1959.75,0,Macroeconomic,Row
data,capexpri.dat,Australian Bureau of Statistics,"Quarterly gross fixed capital expenditure � private total, Australia: millions of dollars, 1984/85 prices. Sep 1959 � Mar 1991",4,1959.75,0,Macroeconomic,Row
data,cars&sw.dat,Australian Bureau of Statistics,Australia monthly production of cars and station wagons. Jul 1961 � Aug 1995,12,1961.5,0,Production,Row
data,cars&swq.dat,Australian Bureau of Statistics,Australia monthly production of cars and station wagons. Sep 1962 � Sep 1994,12,1962.67,0,Production,Row
data,cement.dat,Australian Bureau of Statistics,Monthly production of Portland cement: thousands of tonnes. Jan 1956 � Aug 1995,12,1956,0,Production,Row
data,cementq.dat,Australian Bureau of Statistics,Quarterly production of Portland cement: thousands of tonnes. March 1956 � Sep 1994,4,1956,0,Production,Row
data,choc.dat,Australian Bureau of Statistics,Monthly production of chocolate confectionery in Australia: tonnes. July 1957 � Aug 1995,12,1957.5,0,Production,Row
data,chocq.dat,Australian Bureau of Statistics,Quarterly production of chocolate confectionery in Australia: tonnes. Sep 1957 � Sep 1994,4,1957.67,0,Production,Row
data,civpop.dat,Australian Bureau of Statistics,Monthly civilian population of Australia: thousand persons. Feb 1978 � Apr 1991,12,1978.083,0,Demography,Row
data,cpi.dat,Australian Bureau of Statistics,"Consumer price index standardised to 1989/90 = 100. Mar 1956 � Jun 1995. Up to Dec 1986, used average of 6 cities; 1987 � 1991 figures from personal investment magazine",4,1956,0,Macroeconomic,Row
data,dole.dat,Australian Bureau of Statistics,Numbers on Unemployment Benefits in Australia: monthly Jan 1956 � Jul 1992,12,1956,0,Labour market,Row
data,elec.dat,Australian Bureau of Statistics,Monthly electricity production in Australia: million kilowatt hours. Jan 1956 � Aug 1995,12,1956,0,Production,Row
data,elecq.dat,Australian Bureau of Statistics,Quarterly electricity production in Australia: million kilowatt hours. Mar 1956 � Sep 1994,4,1956,0,Production,Row
data,empper.dat,Australian Bureau of Statistics,Monthly number of employed persons in Australia: thousands. Feb 1978 � Apr 1991,12,1978.083,0,Labour market,Row
data,erp.dat,Australian Bureau of Statistics,Estimated quarterly resident population of Australia: thousand persons,4,1971.5,0,Demography,Row
data,expindex.dat,Australian Bureau of Statistics,Australian annual exports of goods and services in current prices: $m. 1949 � 1990,1,1949,0,Macroeconomic,Row
data,exports.dat,Australian Bureau of Statistics,Quarterly Australian national accounts exports: millions of dollars at 1989/90 prices. Sep 59 � Jun 95,4,1959.75,0,Macroeconomic,Row
data,finserv.dat,Australian Bureau of Statistics,Quarterly Australian expenditure on financial services: $m. Sep 1969 � Mar 1994,4,1969.75,0,Macroeconomic,Row
data,gas.dat,Australian Bureau of Statistics,Monthly production of Gas in Australia: million megajoules. Includes natural gas from July 1989. Jan 1956 � Aug 1995,12,1956,0,Production,Row
data,gasq.dat,Australian Bureau of Statistics,Quarterly production of Gas in Australia: million megajoules. Includes natural gas from July 1989. Mar 1956 � Sep 1994,4,1956,0,Utilities,Row
data,gfp.dat,Australian Bureau of Statistics,Quarterly Australian Gross Farm Product: $m 1989/90 prices. Sep 59 � Mar 93,4,1959.75,0,Macroeconomic,Row
data,gnfp.dat,Australian Bureau of Statistics,Quarterly Australian Gross non-farm product: $m at average 1989/90 prices. Sep 59 � Jun 1995,4,1959.75,0,Macroeconomic,Row
data,govtcons.dat,Australian Bureau of Statistics,Quarterly Australian govt final consumption expenditure total: $m 1984/95 prices. Sep 1959 to March 1991,4,1959.75,0,Macroeconomic,Row
data,impjp.dat,Australian Bureau of Statistics,Monthly Australian imports from Japan: thousands of dollars. Jul 65 � Oct 93.,12,1965.5,0,Macroeconomic,Row
data,imports.dat,Australian Bureau of Statistics,Quarterly Australian imports of all goods and services: $m at average 1989/90 prices. Sep 1959 � Jun 1995,4,1959.75,0,Macroeconomic,Row
data,incstkf.dat,Australian Bureau of Statistics,"Quarterly increase in stocks farm total, Australia. Sep 1974 to March 1991",4,1974.75,0,Macroeconomic,Row
data,incstknf.dat,Australian Bureau of Statistics,"Quarterly increase in stocks non-farm total, Australia. Sep 1959 - March 1991",4,1959.75,,Finance,Row
data,incstkpa.dat,Australian Bureau of Statistics,"Quarterly increase in stocks, other public authorities total, Australia. Sep 1974 to March 1991",4,1974.75,0,Macroeconomic,Row
data,incstkpm.dat,Australian Bureau of Statistics,"Quarterly increase in stocks, public marketing authorities total, Australia. Sep 1974 to March 1991",4,1974.75,0,Macroeconomic,Row
data,labour.dat,Australian Bureau of Statistics,Civilian labour force in Australia each month: thousands of persons. Feb 1978 � Aug 1995,12,1978.083,0,Labour market,Row
data,m1.dat,Australian Bureau of Statistics,"Volume of money, ABS definition m1. Feb 1960 � Dec 1989",12,1960.0833,0,Finance,Row
data,m3.dat,Australian Bureau of Statistics,"Volume of money, ABS definition m1. Feb 1960 � Dec 1994",12,1960.0833,0,Finance,Row
data,motel.dat,Australian Bureau of Statistics,"Monthly data relating to hotels, motels and guesthouses in Victoria. Jan 1980 � June 1995. First column: total number of room nights occupied; Second column: total takings from accommodation",12,1980,0,Transport and tourism,Column
data,motel_rt.dat,Australian Bureau of Statistics,"First column: monthly average cost of a night�s accommodation at a hotel, motel or guesthouse in Victoria, Jan 1980 � June 1995. (Obtained by taking ratio of columns in MOTEL.DAT.) Second column: estimated CPI for each month in Melbourne",12,1980,0,Transport and tourism,Column
data,netimm.dat,Australian Bureau of Statistics,"Quarterly net increase in population overseas migration, Australia. Sep 1971 � Sep 1990",4,1971.75,0,Demography,Row
data,pigs.dat,Australian Bureau of Statistics,Monthly total number of pigs slaughtered in Victoria. Jan 1980 � August�1995,12,1980,0,Agriculture,Row
data,plastic.dat,Australian Bureau of Statistics,Monthly production of plastics and synthetic resins in Australia: tonnes. Jul 1964 � Jun 1989,12,1964.5,0,Production,Row
data,plasticq.dat,Australian Bureau of Statistics,Quarterly production of plastics and synthetic resins in Australia: tonnes. Sep 1964 � Jun 1989,4,1964.75,0,Production,Row
data,plastics.dat,Australian Bureau of Statistics,Australian monthly production of plastics in primary. Mar 1988 � Aug 1995,12,1988,0,Production,Row
data,privcons.dat,Australian Bureau of Statistics,Quarterly Australian private final consumption expenditure. Sep 1959 to March 1991,4,1959.75,0,Macroeconomic,Row
data,rawsteel.dat,Australian Bureau of Statistics,Monthly production of raw steel in Australia: thousand tonnes. Jan 1956 � Nov 1993,12,1956,0,Production,Row
data,rawstlq.dat,Australian Bureau of Statistics,Quarterly production of raw steel in Australia: thousand tonnes. Mar 1956 � Sep 1992,4,1956,0,Production,Row
data,sulphur.dat,Australian Bureau of Statistics,Monthly production of sulphuric acid in Australia: thousand tonnes. Jan 1956 � Jul 1994,12,1956,0,Production,Row
data,sulphurq.dat,Australian Bureau of Statistics,Quarterly production of sulphuric acid in Australia: thousand tonnes. Mar 1956 � Jun 1994,4,1956,0,Production,Row
data,unemploy.dat,Australian Bureau of Statistics,Monthly number of unemployed persons in Australia. Feb 1978 � Aug 1995. Compare DOLE.DAT,12,1978.083,0,Labour market,Row
data,wine.dat,Australian Bureau of Statistics,Monthly Australian wine sales: thousands of litres. By wine makers in bottles <= 1 litre.,12,1980,0,Sales,Column
data,woolyarn.dat,Australian Bureau of Statistics,Monthly production of woollen yarn in Australia: tonnes. Jan 1965 � Aug 1995.,12,1965,0,Production,Row
data,woolyrnq.dat,Australian Bureau of Statistics,Quarterly production of woollen yarn in Australia: tonnes. Mar 1965 � Sep 1994.,4,1965,0,Production,Row
data,arge030.dat,"Boninsegna, J","Tree: Rio Cisne, Chubut Ficu, Argentina. Alerce -4209-07133",1,441,0,Tree-rings,Row
data,cola.dat,Bowerman and O�Connell (1993),Monthly sales of Tasty Cola,12,1,0,Sales,Row
data,airpass.dat,Box & Jenkins (1976),International airline passengers: monthly totals in thousands. Jan 49 � Dec 60,12,1949,0,Transport and tourism,Row
data,boxjenk1.dat,Box & Jenkins (1976),Chemical concentration readings,,1,0,Chemistry,Row
data,boxjenk2.dat,Box & Jenkins (1976),"IBM common stock closing prices: daily, 17th May 1961 � 2nd November 1962",,1,0,Finance,Row
data,boxjenk3.dat,Box & Jenkins (1976),"IBM common stock closing prices: daily, 29th June 1959 to 30th June 1960 (N=255)",,1,0,Finance,Row
data,boxjenk4.dat,Box & Jenkins (1976),Chemical process temperature readings: every minute,,1,0,Chemistry,Row
data,boxjenk5.dat,Box & Jenkins (1976),Chemical process viscosity readings,,1,0,Chemistry,Row
data,boxjenk7.dat,Box & Jenkins (1976),Batch chemical process,,1,0,Chemistry,Row
data,gas2.dat,Box & Jenkins (1976),Methane input into gas furnace: cu. ft/min. Sampling interval 9 seconds. Carbon dioxide output from gas furnace: percent of output gas. Sampling interval 9 seconds,,1,0,Industry,Column
data,ls2.dat,Box & Jenkins (1976),Leading indicator and sales,,1,0,Sales,Column
boxjenk,seriese.dat,Box & Jenkins (1976),"Wolfer sunspot numbers, 1770 to 1869",1,1770,1,Physics,Row
roberts,boxhu1.dat,"Box, Hunter and Hunter (1978)",Yield of 20 consecutive batches of a chemical process. First 10 batches were run under a standard process and the second 10 under a modified process aimed at increasing mean yield,,1,5,Chemistry,Row
roberts,boxhun.dat,"Box, Hunter and Hunter (1978)",Production record of 210 consecutive yield values,,1,3,Chemistry,Row
blowfly,deaths.dat,"Brillinger, Guckenheimer, Guttorp and Oster (1980)",Deaths in total adult population of sheep blowflies,,1,1,Ecology,Row
blowfly,eggs.dat,"Brillinger, Guckenheimer, Guttorp and Oster (1980)",Number of blowfly eggs,,1,1,Ecology,Row
blowfly,emerging.dat,"Brillinger, Guckenheimer, Guttorp and Oster (1980)",Number of emerging eggs,,1,1,Ecology,Row
blowfly,nonemerg.dat,"Brillinger, Guckenheimer, Guttorp and Oster (1980)",Number of non-emerging eggs.,,1,1,Ecology,Row
blowfly,total.dat,"Brillinger, Guckenheimer, Guttorp and Oster (1980)",Total blowfly population,,1,1,Ecology,Row
data,polio.dat,"Brockwell and Davis  (1996, p. 298)",Monthly U.S. polio cases,12,1970,1,Health,Row
data,djao2.dat,Brockwell and Davis (1991),Dow Jones index and Australian all ordinaries index at closing on 251 trading days ending 26 August 1994,,1,0,Finance,Column
data,uspop.dat,"Brockwell and Davis (1991, p. 3)","U.S. population at 10 year intervals, 1790 � 1980 (USA Bureau of Census)",0.1,1790,0,Demography,Row
data,strikes.dat,"Brockwell and Davis (1991, p. 4; p. 113)","Number of strikes in the USA, 1951 � 1980",1,1951,0,Industry,Row
data,deaths.dat,"Brockwell and Davis (1991, p. 7)","Accidental deaths in USA: monthly, 1973 � 1978",12,1973,0,Demography,Row
data,dowjones.dat,"Brockwell and Davis (1991, Series B, p. 555)","Dow Jones Utilities Index, 28 Aug � 18 Dec 1972",,1,0,Finance,Row
data,hstarts.dat,"Brockwell and Davis (1991, Series C, p. 556)","Private housing units started, USA: monthly",12,1973.916667,0,Microeconomic,Row
data,ausprod.dat,"Brockwell and Davis (1991, series D, p. 556)","Industrial production, Austria: quarterly",4,1975.75,0,Production,Row
data,spanprod.dat,"Brockwell and Davis (1991, Series E, p. 556)","Industrial production, Spain: monthly",12,1977.916667,0,Production,Row
data,genprod.dat,"Brockwell and Davis (1991, Series F, p. 557)",General index of industrial production: monthly,12,1966.916667,0,Production,Row
