Jenkins & Watts (1980)

   400
JENKINS & WATTS : X(t) = X(t-1) -0.5*X(t-2) + A(t)
  1.23 -0.40  1.20 -2.02  1.97 -0.93 -0.12 -2.34 -4.42  0.10
  1.06  0.06 -3.25  0.21  2.59  4.48 -0.92 -1.55  0.77  0.34
 -3.27 -3.84  0.53  4.73  5.84  1.24 -3.62  0.59  1.04  3.56
 -0.63 -2.09 -1.38  4.42  3.86  0.03 -2.11 -0.18  4.13  2.67
  2.73  2.02  0.15  1.28  3.49 -0.73 -0.28 -0.84  1.37 -0.34

   100
JENKINS & WATTS: POWER STATION DATA : IN-PHASE CURRENT DEVIATIONS
(10F5.2)
 0.92 0.95 0.99 1.07 1.13 1.16 1.15 1.08 0.97 0.89
 0.85 0.76 0.65 0.59 0.59 0.58 0.58 0.60 0.60 0.55
 0.54 0.60 0.62 0.54 0.50 0.58 0.65 0.65 0.69 0.74
 0.76 0.72 0.69 0.71 0.81 0.96 1.09 1.10 1.05 1.04
 1.05 1.03 1.00 0.92 0.81 0.73 0.60 0.48 0.45 0.44
 0.37 0.30 0.27 0.30 0.33 0.33 0.34 0.36 0.38 0.41
 0.46 0.50 0.50 0.47 0.44 0.47 0.52 0.52 0.50 0.50
 0.49 0.48 0.47 0.46 0.43 0.42 0.46 0.52 0.58 0.61
 0.66 0.72 0.72 0.68 0.70 0.77 0.75 0.64 0.56 0.50
 0.40 0.28 0.24 0.26 0.21 0.16 0.18 0.19 0.18 0.19

   100
JENKINS & WATTS: POWER STATION DATA : OUT-OF-PHASE CURRENT DEVIATIONS
(10F6.2)
 -0.75 -0.92 -1.04 -1.01 -0.83 -0.64 -0.55 -0.46 -0.31 -0.14
 -0.02  0.12  0.32  0.54  0.68  0.72  0.77  0.82  0.87  0.91
  0.98  1.10  1.17  1.09  1.00  1.06  1.17  1.18  0.96  0.64
  0.60  0.80  0.84  0.68  0.63  0.74  0.81  0.67  0.38  0.17
  0.17  0.29  0.41  0.52  0.67  0.77  0.80  0.86  1.01  1.22
  1.40  1.49  1.49  1.47  1.54  1.64  1.60  1.46  1.41  1.41
  1.39  1.26  1.04  0.89  0.99  1.21  1.31  1.25  1.13  1.04
  0.98  0.93  0.86  0.79  0.80  0.91  1.10  1.26  1.26  1.10
  0.92  0.79  0.67  0.53  0.44  0.43  0.39  0.32  0.29  0.34
  0.38  0.37  0.33  0.26  0.25  0.31  0.40  0.47  0.45  0.36

   100
JENKINS & WATTS: POWER STATION DATA : VOLTAGE DEVIATIONS
(10F6.2)
 -2.11 -2.08 -2.10 -2.22 -2.39 -2.50 -2.49 -2.43 -2.37 -2.30
 -2.25 -2.21 -2.20 -2.22 -2.21 -2.20 -2.20 -2.22 -2.22 -2.21
 -2.22 -2.25 -2.26 -2.20 -2.15 -2.18 -2.21 -2.25 -2.27 -2.28
 -2.28 -2.26 -2.19 -2.13 -2.15 -2.25 -2.33 -2.32 -2.25 -2.21
 -2.23 -2.28 -2.32 -2.33 -2.34 -2.32 -2.26 -2.22 -2.23 -2.27
 -2.30 -2.30 -2.28 -2.26 -2.26 -2.25 -2.23 -2.21 -2.23 -2.25
 -2.26 -2.22 -2.14 -2.10 -2.15 -2.23 -2.27 -2.26 -2.22 -2.20
 -2.19 -2.17 -2.14 -2.10 -2.09 -2.14 -2.24 -2.32 -2.34 -2.30
 -2.28 -2.28 -2.26 -2.22 -2.20 -2.20 -2.17 -2.11 -2.07 -2.05
 -1.98 -1.90 -1.83 -1.78 -1.77 -1.78 -1.81 -1.83 -1.82 -1.77

   100
JENKINS & WATTS: POWER STATION DATA : FREQUENCY DEVIATIONS
(10F5.2)
 4.75 4.75 4.74 4.75 4.75 4.77 4.78 4.76 4.81 4.81
 4.84 4.88 4.94 4.96 4.99 5.05 5.11 5.11 5.10 5.10
 5.05 5.00 5.01 5.00 5.00 5.01 5.04 5.09 5.09 5.06
 5.06 5.04 5.01 4.99 4.97 4.99 5.00 5.01 4.97 4.88
 4.81 4.81 4.79 4.79 4.85 4.88 4.90 5.00 5.11 5.15
 5.24 5.20 5.20 5.20 5.20 5.21 5.20 5.15 5.15 5.14
 5.10 5.11 5.10 5.10 5.09 5.11 5.08 5.10 5.10 5.15
 5.15 5.15 5.10 5.15 5.10 5.10 5.10 5.11 5.11 5.10
 5.11 5.11 5.08 5.05 5.01 4.90 4.90 4.95 4.94 4.90
 4.96 4.97 4.99 5.08 5.16 5.21 5.19 5.19 5.20 5.16
 
