Year Week Week2 Floorprice "19mu price"
  79  42 198  400.0000  536.0000   
  79  43 199  405.0000  533.0000   
  79  44 200  397.0000  525.0000   
  79  45 201  394.0000  519.0000   
  79  46 202  397.0000  523.0000   
  79  47 203  388.0000  517.0000   
  79  48 204  379.0000  509.0000   
  79  49 205  377.0000  507.0000   
  79  50 206  380.0000  500.0000   
  80   2 210  383.0000  510.0000   
  80   3 211  394.0000  524.0000   
  80   4 212  408.0000  538.0000   
  80   5 213  413.0000  538.0000   
  80   7 215  433.0000  573.0000   
  80  13 221  415.0000  570.0000   
  80  14 222  414.0000  566.0000   
  80  15 223  414.0000  567.0000   
  80  16 224  412.0000  584.0000   
  80  17 225  405.0000  585.0000   
  80  18 226  396.0000  564.0000   
  80  19 227  396.0000  565.0000   
  80  20 228  405.0000  573.0000   
  80  22 230  407.0000  587.0000   
  80  23 231  409.0000  585.0000   
  80  24 232  403.0000  578.0000   
  80  25 233  402.0000  578.0000   
  80  26 234  401.0000  578.0000   
  80  31 239  396.0000  576.0000   
  80  35 243  398.0000  563.0000   
  80  36 244  394.0000  557.0000   
  80  37 245  396.0000  550.0000   
  80  38 246  404.0000  564.0000   
  80  39 247  408.0000  564.0000   
  80  40 248  401.0000  564.0000   
  80  41 249  398.0000  548.0000   
  80  42 250  392.0000  535.0000   
  80  43 251  393.0000  542.0000   
  80  44 252  397.0000  536.0000   
  80  45 253  400.0000  536.0000   
  80  46 254  403.0000  540.0000   
  80  47 255  416.0000  543.0000   
  80  48 256  415.0000  544.0000   
  80  49 257  414.0000  536.0000   
  80  50 258  414.0000  526.0000   
  81   3 263  415.0000  528.0000   
  81   4 264  425.0000  530.0000   
  81   5 265  427.0000  534.0000   
  81   6 266  426.0000  526.0000   
  81   7 267  421.0000  525.0000   
  81   8 268  420.0000  525.0000   
  81   9 269  419.0000  524.0000   
  81  10 270  417.0000  523.0000   
  81  11 271  411.0000  519.0000   
  81  12 272  406.0000  519.0000   
  81  13 273  410.0000  533.0000   
  81  14 274  409.0000  540.0000   
  81  15 275  411.0000  540.0000   
  81  18 278  413.0000  543.0000   
  81  19 279  415.0000  543.0000   
  81  20 280  419.0000  546.0000   
  81  21 281  423.0000  541.0000   
  81  22 282  422.0000  539.0000   
  81  23 283  425.0000  539.0000   
  81  25 285  428.0000  539.0000   
  81  26 286  427.0000  543.0000   
  81  31 291  427.0000  543.0000   
  81  35 295  425.0000  543.0000   
  81  36 296  423.0000  518.0000   
  81  37 297  422.0000  519.0000   
  81  39 299  422.0000  519.0000   
  81  40 300  420.0000  519.0000   
  81  41 301  421.0000  522.0000   
  81  42 302  421.0000  523.0000   
  81  43 303  418.0000  520.0000   
  81  44 304  421.0000  522.0000   
  81  45 305  420.0000  520.0000   
  81  46 306  422.0000  524.0000   
  81  47 307  424.0000  523.0000   
  81  48 308  425.0000  523.0000   
  81  49 309  423.0000  522.0000   
  81  50 310  422.0000  522.0000   
  81  51 311  422.0000  524.0000   
  82   3 315  423.0000  524.0000   
  82   4 316  423.0000  530.0000   
  82   5 317  427.0000  535.0000   
  82   6 318  428.0000  535.0000   
  82   7 319  437.0000  544.0000   
  82   8 320  441.0000  550.0000   
  82   9 321  440.0000  550.0000   
  82  10 322  445.0000  554.0000   
  82  11 323  446.0000  561.0000   
  82  12 324  443.0000  579.0000   
  82  13 325  445.0000  579.0000   
  82  14 326  444.0000  582.0000   
  82  18 330  446.0000  585.0000   
  82  19 331  445.0000  581.0000   
  82  20 332  443.0000  581.0000   
  82  21 333  442.0000  581.0000   
  82  22 334  446.0000  580.0000   
  82  23 335  448.0000  579.0000   
  82  24 336  449.0000  579.0000   
  82  25 337  445.0000  579.0000   
  82  26 338  443.0000  579.0000   
  82  27 339  437.0000  579.0000   
  82  30 342  439.0000  579.0000   
  82  34 346  433.0000  572.0000   
  82  35 347  431.0000  572.0000   
  82  36 348  430.0000  572.0000   
  82  37 349  437.0000  576.0000   
  82  38 350  435.0000  576.0000   
  82  39 351  433.0000  561.0000   
  82  40 352  432.0000  561.0000   
  82  41 353  432.0000  553.0000   
  82  42 354  431.0000  558.0000   
  82  43 355  432.0000  553.0000   
  82  44 356  432.0000  547.0000   
  82  45 357  432.0000  562.0000   
  82  46 358  432.0000  565.0000   
  82  47 359  430.0000  564.0000   
  82  48 360  427.0000  551.0000   
  82  49 361  426.0000  549.0000   
  82  50 362  426.0000  549.0000   
  83   2 366  429.0000  556.0000   
  83   3 367  432.0000  563.0000   
  83   4 368  435.0000  579.0000   
  83   5 369  438.0000  580.0000   
  83   6 370  438.0000  582.0000   
  83   7 371  436.0000  577.0000   
  83   8 372  435.0000  578.0000   
  83   9 373  435.0000  576.0000   
  83  10 374  471.0000  626.0000   
  83  11 375  471.0000  628.0000   
  83  12 376  466.0000  641.0000   
  83  13 377  467.0000  623.0000   
  83  17 381  470.0000  639.0000   
  83  18 382  470.0000  643.0000   
  83  19 383  470.0000  632.0000   
  83  20 384  468.0000  632.0000   
  83  21 385  467.0000  632.0000   
  83  22 386  472.0000  635.0000   
  83  23 387  473.0000  635.0000   
  83  24 388  474.0000  644.0000   
  83  25 389  471.0000  642.0000   
  83  30 394  481.0000  638.0000   
  83  34 398  481.0000  627.0000   
  83  35 399  481.0000  627.0000   
  83  36 400  481.0000  624.0000   
  83  37 401  482.0000  627.0000   
  83  38 402  482.0000  627.0000   
  83  39 403  482.0000  633.0000   
  83  40 404  481.0000  624.0000   
  83  41 405  480.0000  620.0000   
  83  42 406  479.0000  617.0000   
  83  43 407  477.0000  620.0000   
  83  44 408  477.0000  625.0000   
  83  45 409  477.0000  620.0000   
  83  46 410  476.0000  624.0000   
  83  47 411  476.0000  623.0000   
  83  48 412  476.0000  627.0000   
  83  49 413  475.0000  628.0000   
  83  50 414  476.0000  636.0000   
  84   2 418  480.0000  649.0000   
  84   3 419  483.0000  671.0000   
  84   4 420  488.0000  717.0000   
  84   5 421  490.0000  748.0000   
  84   6 422  488.0000  726.0000   
  84   7 423  490.0000  754.0000   
  84   8 424  490.0000  754.0000   
  84   9 425  493.0000  791.0000   
  84  10 426  490.0000  775.0000   
  84  11 427  490.0000  773.0000   
  84  12 428  487.0000  770.0000   
  84  13 429  492.0000  786.0000   
  84  14 430  495.0000  786.0000   
  84  18 434  494.0000  786.0000   
  84  19 435  496.0000  786.0000   
  84  20 436  495.0000  786.0000   
  84  21 437  495.0000  786.0000   
  84  22 438  497.0000  786.0000   
  84  25 441  496.0000  786.0000   
  84  26 442  499.0000  786.0000   
