 NATURALQ  MORANNAT  HEISENAT  BOISENAT  SALMONAT BRUNEUNAT  RIRIENAT   
        67      36.0       0.0       0.0       0.0       0.0       0.0
        68      82.4       0.0       0.0       0.0       0.0       0.0
        69     486.0       0.0       0.0       0.0       0.0       0.0
        70     215.0       0.0       0.0       0.0       0.0       0.0
        71     306.0       0.0       0.0       0.0       0.0       0.0
        72      82.2       0.0       0.0       0.0       0.0       0.0
        73      66.5       0.0       0.0       0.0       0.0       0.0
        74      60.7       0.0       0.0       0.0       0.0       0.0
        75      67.6       0.0       0.0       0.0       0.0       0.0
        76      55.8       0.0       0.0       0.0       0.0       0.0
        77      44.5       0.0       0.0       0.0       0.0       0.0
        78      52.0       0.0       0.0       0.0       0.0       0.0
        79      94.6       0.0       0.0       0.0       0.0       0.0
        80     248.0       0.0       0.0       0.0       0.0       0.0
        81     173.0       0.0       0.0       0.0       0.0       0.0
        82     301.0       0.0       0.0       0.0       0.0       0.0
        83      69.5       0.0       0.0       0.0       0.0       0.0
        84       8.7       0.0       0.0       0.0       0.0       0.0
        85      33.7     214.0      21.5     304.0       5.6       0.0
        86      25.1     201.5      25.2     330.0       6.9       0.0
        87      27.0     188.4      27.8     285.0       7.6       0.0
        88      47.5     184.8      27.7     246.0       9.3       0.0
        89      37.1     151.3      25.4     230.0       9.5       0.0
        90      41.0     170.2      41.9     354.0      16.7       0.0
        91      41.1     292.1      99.0     607.0      38.0       0.0
        92     211.2     973.2     215.9    1640.0      71.6       0.0
        93     547.6    1883.6     302.5    3480.0      83.9       0.0
        94     258.9     885.9     103.1    1280.0      22.7       0.0
        95      75.7     359.7      29.8     416.0       6.1       0.0
        96      41.3     256.0      21.6     301.0       4.6       0.0
        97      43.9     250.5      24.5     321.0       6.1       0.0
        98      43.1     226.5      23.5     276.0       6.6       0.0
        99      22.2     178.1      24.5     250.0       7.0       0.0
       100      29.4     176.8      31.2     253.0      10.7       0.0
       101      35.9     169.5      24.2     245.0       8.9       0.0
       102      32.0     181.5      32.6     274.0      11.8       0.0
       103      38.7     248.7     112.0     581.0      42.3       0.0
       104     138.4     916.7     271.0    1830.0      89.0       0.0
       105     488.5    1917.5     323.0    3360.0      89.0       0.0
       106     215.8     994.8      92.8    1060.0      20.5       0.0
       107     113.1     528.1      40.6     454.0       8.4       0.0
       108      56.6     341.6      29.8     361.0       6.5       0.0
       109      60.9     308.5      27.7     333.0       6.6       0.0
       110      39.8     245.1      28.4     308.0       7.4       0.0
       111      39.2     215.3      21.5     271.0       6.6       0.0
       112      45.8     216.8      21.6     238.0       6.9       0.0
       113      33.9     186.2      22.3     213.0       8.1       0.0
       114      35.6     193.6      34.4     281.0      12.8       0.0
       115      64.7     521.6     143.0     768.0      52.4       0.0
       116     314.1    1352.7     263.0    2320.0      86.5       0.0
       117     466.7    1592.7     208.0    3170.0      60.1       0.0
       118     213.1     866.1      81.8     965.0      18.2       0.0
       119     116.9     443.9      40.7     411.0       8.4       0.0
       120      49.2     303.2      26.1     290.0       5.6       0.0
       121      50.8     288.3      29.5     309.0       6.9       0.0
       122      45.9     249.2      35.7     321.0       8.6       0.0
       123      32.7     204.8      25.5     244.0       7.2       0.0
       124      42.9     200.7      27.5     258.0       9.2       0.0
       125      39.3     168.3      27.5     227.0      10.5       0.0
       126      32.7     187.8      75.0     347.0      33.9       0.0
       127      59.9     512.2     176.0     726.0      63.1       0.0
       128     304.2    1355.1     253.0    2020.0      83.3       0.0
       129     339.3    1379.3     162.0    1670.0      48.5       0.0
       130     130.7     673.7      61.4     640.0      13.9       0.0
       131      51.8     360.8      25.5     290.0       5.2       0.0
       132      62.4     317.4      25.1     282.0       5.4       0.0
       133      63.0     323.7      33.7     337.0       7.6       0.0
       134      49.1     243.9      25.6     289.0       6.9       0.0
       135      30.4     204.3      17.0     212.0       5.9       0.0
       136      24.3     192.2      18.8     216.0       5.8       0.0
       137      17.0     159.4      20.3     210.0       7.1       0.0
       138      27.4     176.6      35.0     255.0      13.1       0.0
       139      99.6     431.2      86.9     613.0      34.1       0.0
       140     144.7     601.6     123.0    1140.0      42.1       0.0
       141     190.8     696.8      93.4    1270.0      31.3       0.0
       142      92.2     467.2      45.1     627.0      10.4       0.0
       143      39.1     271.1      21.9     273.0       4.5       0.0
       144      35.6     238.7      19.9     251.0       4.1       0.0
       145      26.6     222.1      20.0     263.0       5.3       0.0
       146      29.0     188.0      19.3     240.0       5.9       0.0
       147      28.1     172.9      22.8     245.0       6.8       0.0
       148      37.4     169.9      19.0     205.0       5.9       0.0
       149      33.6     177.1      18.3     260.0       6.1       0.0
       150      37.9     240.5      63.3     481.0      27.8       0.0
       151      49.9     532.7     183.0     898.0      65.4       0.0
       152     180.2     968.8     238.0    1800.0      78.6       0.0
       153     430.7    1493.7     293.0    3190.0      81.5       0.0
       154     289.8    1039.8     163.0    2130.0      35.4       0.0
       155      84.2     465.2      42.5     528.0       8.8       0.0
       156      41.8     294.8      27.0     321.0       5.8       0.0
       157      38.3     275.1      27.5     309.0       6.6       3.3
       158      27.3     213.0      19.5     258.0       6.0       3.1
       159      39.5     201.8      18.9     248.0       6.2       2.8
       160      27.5     171.7      17.2     229.0       5.2       3.0
       161      31.4     167.0      17.4     217.0       5.8       3.0
       162      33.8     184.0      25.9     251.0       8.3       4.2
       163      33.2     259.4      81.5     458.0      32.3       9.8
       164     147.1    1082.9     268.0    1700.0      88.1     131.0
       165     445.7    1811.7     310.0    3210.0      85.7      79.1
       166     314.0    1337.0     132.0    1750.0      28.8      19.2
       167     102.3     490.3      31.2     410.0       6.4       7.2
       168      46.6     345.7      20.8     285.0       4.4       4.4
       169      28.9     290.5      20.0     250.4       5.3       4.2
       170      24.0     277.9      19.6     245.5       6.0       4.2
       171      44.6     300.5      53.8     381.1      11.6       4.4
       172      33.3     252.1      40.8     325.6      14.5       4.1
       173      30.0     216.5      27.8     242.8      10.6       3.9
       174      28.4     259.5      65.2     385.0      28.8       6.1
       175      38.5     385.1     154.0     815.5      55.9      31.9
       176     172.2     967.4     202.0    1779.3      67.1      44.0
       177     611.1    2269.1     273.0    3095.3      76.4      19.3
       178     161.6     804.6      56.3     646.8      12.8       7.3
       179      83.2     392.2      27.8     322.6       5.7       3.2
       180      41.0     289.0      22.1     265.5       4.7       2.4
       181      49.2     318.7      25.4     312.9       6.2       3.5
       182      29.1     259.6      21.8     261.1       6.3       3.3
       183      22.3     235.8      18.9     235.2       6.2       2.5
       184      23.7     219.2      16.3     199.2       4.8       2.3
       185      28.7     210.3      16.4     191.8       5.3       2.2
       186      31.9     252.4      37.8     288.0      14.5       9.0
       187      45.6     414.7     146.0     781.4      53.3      44.6
       188     240.2     902.2     246.0    2080.2      81.1      29.0
       189     148.8     508.7     119.0    1432.1      37.7       9.0
       190      47.8     249.4      34.6     432.6       8.2       2.2
       191      34.1     204.5      18.9     230.1       3.9       1.2
       192      25.3     184.4      16.4     198.5       3.3       1.5
       193      28.9     203.7      20.4     212.0       5.4       2.5
       194      29.8     180.0      24.3     221.0       6.7       2.6
       195      30.0     146.2      17.9     195.0       6.0       2.1
       196      28.0     156.0      26.7     223.0       8.9       2.4
       197      23.1     143.2      16.3     214.0       5.2       2.1
       198      28.5     156.5      26.3     253.0       8.5       2.5
       199      32.8     232.8      64.3     351.0      26.7      17.6
       200     178.5    1148.0     239.0    1510.0      78.9      80.6
       201     369.3    1482.9     193.0    2340.0      56.3      21.9
       202     172.6     744.8      62.1     879.0      14.0       6.6
       203      77.1     365.9      26.1     304.0       5.4       2.6
       204      39.3     279.6      24.9     265.0       5.3       2.4
       205      43.8     264.1      30.4     339.0       7.1       3.5
       206      32.0     239.3      34.7     342.0       8.4       3.1
       207      33.3     235.6      32.5     275.0       8.3       2.3
       208      33.1     229.4      35.7     283.0      12.5       2.6
       209      23.6     200.9      35.0     264.0      14.0       2.3
       210      24.5     238.5      81.2     452.0      37.1       5.2
       211      38.4     361.7     140.0     744.0      51.4      29.0
       212     291.7    1348.8     377.0    2870.0     122.6      78.1
       213     352.2    1615.2     350.0    3580.0      95.8      25.8
       214     139.7     610.1      86.1     965.0      19.1       8.3
       215      64.2     374.8      32.8     373.0       6.8       3.3
       216      38.3     288.8      26.6     302.0       5.8       2.7
       217      28.7     233.5      24.7     283.0       6.1       3.2
       218      33.6     228.5      32.2     286.0       8.0       3.5
       219      34.0     235.9      36.0     283.0       8.8       3.1
       220      29.2     182.1      23.0     230.0       7.5       2.5
       221      26.8     164.9      20.9     216.0       7.4       2.5
       222      25.1     186.8      36.1     293.0      13.6       3.1
       223      27.9     234.6      92.2     475.0      35.8       8.1
       224     185.1    1097.7     280.0    1810.0      91.9      74.4
       225     403.4    1541.1     308.0    2900.0      85.2      24.1
       226     152.7     586.2      71.3     682.0      16.0       7.3
       227      68.8     389.6      29.4     344.0       6.0       4.3
       228      18.0     289.6      20.1     243.0       4.2       2.5
       229      23.4     213.1      20.0     232.0       5.3       2.8
       230      21.5     193.3      20.8     224.0       6.2       2.9
       231      29.2     194.3      23.2     228.0       6.8       2.6
       232      31.8     202.9      23.0     229.0       7.5       2.6
       233      22.6     165.9      20.4     187.0       7.2       2.2
       234      27.9     198.8      33.5     234.0      12.3       3.0
       235      34.9     288.9      93.4     474.0      36.2      12.3
       236     202.8    1084.7     210.0    1540.0      69.7      57.9
       237     331.8    1228.0     178.0    2180.0      52.5      22.3
       238     170.6     722.9      94.1    1000.0      20.8       8.4
       239      59.9     367.7      28.7     357.0       5.9       3.2
       240      36.3     250.7      20.4     249.0       4.3       2.5
       241      33.0     234.5      23.9     282.0       6.0       3.6
       242      24.3     194.4      21.5     249.0       6.3       3.0
       243      27.4     176.2      21.3     228.0       6.5       2.8
       244      27.8     167.6      20.2     237.0       6.4       2.5
       245      23.2     183.0      26.4     255.0       9.9       2.5
       246      19.5     174.1      24.2     237.0       7.4       2.9
       247      33.3     293.1      60.1     469.0      25.4      23.5
       248     221.7     878.8     127.0    1760.0      43.4      24.5
       249     150.9     632.6      43.0     678.0      18.6       5.1
       250      76.8     345.8      19.7     300.0       5.0       2.5
       251      28.1     207.2      14.5     178.0       2.9       0.8
       252      24.6     186.2      14.2     161.0       2.8       1.0
       253      44.6     235.5      18.8     202.0       5.1       2.0
       254      30.3     184.6      24.9     235.0       6.8       1.7
       255      27.0     156.3      19.1     215.0       6.2       1.2
       256      35.1     177.4      20.0     209.0       6.3       1.5
       257      31.8     165.2      41.4     265.0      17.0       1.6
       258      26.5     188.7      62.7     299.0      27.5       7.4
       259      77.1     518.4     183.0     946.0      65.4      38.8
       260     362.8    1428.1     320.0    2630.0     104.5      37.1
       261     379.3    1287.8     180.0    1880.0      53.1      18.7
       262     213.8     856.0      77.5     732.0      17.3       8.2
       263      93.8     434.0      29.3     307.0       6.0       3.1
       264      53.6     338.5      22.7     270.0       4.8       2.7
       265      39.7     277.9      24.6     284.0       6.1       4.4
       266      31.6     225.9      21.6     248.0       6.3       4.0
       267      26.5     200.9      24.6     247.0       7.1       3.6
       268      23.1     169.5      23.4     194.0       7.6       3.9
       269      26.0     161.6      22.3     214.0       8.1       4.1
       270      22.6     213.8      47.0     334.0      19.3       7.3
       271      82.0     493.2      98.8     803.0      38.0      19.7
       272     250.6     856.8     120.0    1340.0      41.2      29.3
       273     157.7     568.8      53.8     631.0      21.3      14.6
       274      76.9     324.9      22.4     289.0       5.6       8.1
       275      45.4     261.8      16.1     184.0       3.3       1.9
       276      25.8     200.5      15.3     189.0       3.0       2.0
       277      31.2     216.3      16.6     236.0       4.7       3.3
       278      35.2     206.4      30.3     274.0       7.7       3.4
       279      35.2     198.6      37.1     322.0       9.0       3.0
       280      35.4     195.8      25.3     231.0       8.4       3.3
       281      36.7     170.1      32.4     227.0      12.8       3.4
       282      23.9     163.3      54.0     283.0      23.0       5.6
       283      40.2     302.9     127.0     546.0      47.1      21.1
       284     195.2    1100.4     259.0    1760.0      85.2      40.3
       285     607.0    1963.0     337.0    3370.0      92.5      23.1
       286     269.4    1043.9     117.0    1140.0      25.7      12.6
       287      93.3     440.6      34.7     394.0       7.1       4.8
       288      61.6     351.1      27.1     331.0       5.9       3.0
       289      44.0     300.7      29.8     375.1       6.7       4.4
       290      61.0     298.4      65.5     471.9       9.6       4.2
       291      49.5     255.8      44.9     395.4       8.4       3.7
       292      39.9     243.2      38.4     392.9       9.8       4.2
       293      26.4     180.6      32.4     256.4      12.3       3.5
       294      32.5     219.6      84.2     417.6      29.6       7.6
       295      50.0     362.8     112.0     655.4      29.9      18.7
       296     485.0    1878.5     402.0    3314.6      68.8      72.2
       297     303.3    1160.6     155.0    1838.5      37.9      18.2
       298     182.9     784.2      57.4     679.4       9.6       7.3
       299      69.2     373.2      26.3     296.0       5.0       2.3
       300      38.9     264.1      20.2     245.2       4.3       2.7
       301      35.0     253.1      22.1     274.7       5.8       3.4
       302      23.8     207.4      20.7     246.5       8.0       3.3
       303      33.6     187.6      19.9     216.7       5.8       2.8
       304      29.5     179.3      18.4     209.2       5.5       2.9
       305      27.3     171.7      17.3     191.0       9.3       2.6
       306      27.2     172.5      36.3     263.3      12.8       6.4
       307      38.3     229.8      61.9     321.4      36.4      23.4
       308     155.7     745.3     164.0    1192.9      68.8      31.8
       309     324.5    1083.6     149.0    1912.9      45.7      17.2
       310     126.8     556.5      48.2     614.2      11.1       9.6
       311      57.9     305.8      20.2     247.2       5.7       3.5
       312      37.3     273.4      17.0     208.8       5.2       3.0
       313      26.1     225.0      18.3     211.0       6.0       3.7
       314      14.4     177.4      16.2     191.8       6.6       3.2
       315      27.5     185.4      30.3     282.3       6.9       2.8
       316      24.1     156.5      18.1     191.3       5.5       2.8
       317      26.4     149.9      29.5     237.2      11.4       3.4
       318      22.6     178.1      39.3     279.5       8.3       5.1
       319      70.6     459.8     123.0     920.4      15.0      11.9
       320     191.9     765.2     136.0    1531.1      38.6      22.2
       321     217.4     918.9     122.0    1426.3      24.2      10.1
       322     110.6     488.9      36.0     442.5       6.5       3.9
       323      73.9     364.3      21.0     262.0       7.1       1.7
       324      37.2     253.4      17.8     213.2       5.4       2.1
       325      46.3     291.6      25.1     284.6       6.7       3.6
       326      24.1     202.3      18.8     224.5       5.8       3.0
       327      20.0     176.4      16.4     189.0       4.3       2.6
       328      20.2     153.7      18.4     197.0       5.8       2.4
       329      16.6     143.3      18.0     169.9       9.8       2.4
       330      23.1     165.6      35.0     250.3       8.1       4.7
       331      40.9     257.9      80.9     464.9      20.9       8.4
       332     154.4     509.3     132.0    1253.8      19.7      21.3
       333     157.5     558.7      62.5     666.0      16.4       6.8
       334      56.9     223.0      20.2     216.5       4.2       0.0
       335      37.3     189.7      13.8     141.4       4.2       0.0
       336      21.8     164.9      13.9     150.0       4.9       1.5
       337      24.3     173.8      16.4     181.5       5.8       2.4
       338      19.4     156.9      16.1     179.1       5.5       2.6
       339      24.9     149.3      16.5     173.6       2.8       2.2
       340      26.5     143.9      18.0     168.3       5.2       1.8
       341      26.7     133.2      16.6     165.4       8.7       1.9
       342      29.6     154.1      42.4     282.1       8.3       4.3
       343      38.2     274.5     113.0     597.4      42.5      16.8
       344     233.6    1030.4     264.0    2392.1      90.8      35.2
       345     368.0    1282.5     218.0    2460.7      79.6      16.1
       346     146.0     657.4      67.6     811.8      21.9       6.3
       347      71.7     349.2      25.3     303.7       6.7       1.8
       348      30.8     243.2      18.7     228.2       5.4       2.3
       349      23.3     217.4      19.6     254.8       6.2       2.6
       350      20.0     193.6      21.2     263.0       7.2       2.9
       351      22.1     175.0      16.8     188.9       5.1       2.3
       352      31.3     184.2      19.7     209.6       6.8       2.3
       353      27.5     150.6      17.4     166.7       9.3       2.1
       354      20.3     157.2      26.3     235.5       7.3       3.6
       355      28.6     240.8      86.3     463.1      22.0      13.9
       356     124.4     594.1     148.0    1134.0      51.0      30.2
       357     400.3    1342.0     273.0    3374.1      57.0      16.1
       358     123.0     451.6      52.3     643.9      13.4       5.1
       359      63.1     279.0      21.8     271.2       5.2       2.1
       360      38.6     218.9      17.1     214.0       4.0       1.7
       361      24.0     189.1      19.2     228.8       5.8       2.1
       362      19.4     169.0      19.8     268.0       6.1       2.5
       363      19.9     153.7      23.0     263.2       6.6       2.3
       364      28.4     157.3      29.2     275.0       7.1       2.3
       365      20.8     130.8      31.1     261.6      10.0       2.3
       366      28.6     176.0      72.1     480.2       7.3       3.3
       367     114.6     360.7     128.7    1280.7      11.5       4.0
       368     214.2     639.0     112.4    1312.5      12.6      24.1
       369      95.1     344.5      47.6     597.1      15.6       0.0
       370      58.1     214.9      20.3     260.9       5.4       0.0
       371      28.7     159.0      13.8     158.4       4.8       0.0
       372      19.0     132.4      13.3     150.3       3.6       1.2
       373      30.5     160.2      18.6     210.3       5.0       1.2
       374      27.6     146.6      24.0     238.8       6.1       2.2
       375      26.6     139.1      22.2     205.6       5.8       1.9
       376      30.3     137.6      22.8     194.1       6.8       1.0
       377      22.9     118.4      24.3     182.4      10.0       1.2
       378      26.1     137.1      31.7     222.4       9.8       4.4
       379      47.9     311.2     116.3     494.5      30.3      14.0
       380     173.2     727.8     198.0    1495.6      52.9      34.1
       381     363.0    1241.7     181.2    1714.7      59.2      13.7
       382     145.6     563.2      48.1     495.1      14.6       5.2
       383      60.9     284.6      20.4     211.4       4.8       0.2
       384      24.6     193.9      15.4     161.6       4.3       1.5
       385      24.6     183.6      16.8     182.2       4.8       1.5
       386      23.4     166.3      17.1     193.9       6.1       2.7
       387      19.6     146.4      16.3     169.0       5.8       2.2
       388      40.1     158.6      18.0     179.7       6.6       2.1
       389      38.0     146.4      17.1     172.2       9.8       2.5
       390      27.7     143.6      32.3     236.3       7.3       3.5
       391      69.0     429.9     209.1    1033.7      52.6      28.8
       392     388.3    1661.8     282.4    2591.0      68.8      48.4
       393     293.5    1291.0     151.1    1501.1      51.3      19.7
       394     102.3     501.7      39.2     407.5       8.4       9.1
       395      61.8     326.5      21.1     238.2       5.2       3.2
       396      29.3     248.2      17.7     201.1       4.0       2.6
       397      20.8     209.6      17.1     192.5       6.0       2.5
       398      13.0     173.3      15.6     184.3       6.1       2.6
       399      21.4     168.8      17.9     186.1       6.2       2.1
       400      24.4     155.1      16.7     183.0       4.7       1.6
       401      27.3     142.5      16.7     172.5       9.1       2.0
       402      21.2     146.9      30.5     217.2       9.3       4.1
       403      31.8     221.7      69.0     327.1      24.7      16.4
       404     236.2     995.3     178.8    1442.5      45.2      30.4
       405     242.2     816.5      91.4    1080.0      30.9      11.3
       406     110.9     410.2      29.4     375.1      10.3       7.3
       407      54.5     230.5      15.9     179.4       4.4       1.8
       408      24.8     195.1      14.0     147.9       3.3       1.7
       409      27.6     194.4      17.0     182.1       4.3       2.7
       410      22.6     172.4      20.7     195.2       6.1       2.8
       411      32.1     179.4      51.2     291.2       7.3       2.8
       412      29.2     159.3      28.8     206.5       7.4       2.1
       413      26.5     139.4      25.7     206.4      10.3       3.1
       414      36.1     170.8      54.2     321.5      13.3       5.8
       415      54.1     424.6     158.8     796.0      50.3      19.6
       416     229.0    1058.5     281.3    2371.9      84.6      33.5
       417     448.1    1420.3     257.4    2798.1      54.8      16.5
       418     168.1     696.2      92.0     958.8      21.1       8.9
       419      74.5     339.6      31.3     339.9       5.7       4.3
       420      47.4     260.4      21.5     239.6       5.0       3.0
       421      34.6     240.0      25.1     293.2       6.0       2.8
       422      27.9     206.3      25.4     260.6       7.4       3.1
       423      30.5     192.9      25.9     241.7       9.2       2.7
       424      28.5     181.1      22.0     223.4       8.7       2.8
       425      28.3     152.8      20.0     185.8       9.8       2.7
       426      26.1     194.9      58.0     347.9      58.4       6.5
       427      69.5     492.7     125.2     815.3      51.3      13.7
       428     284.4     990.1     160.0    1873.0      38.1      25.3
       429     201.6     746.5      67.1     851.3      21.7      10.3
       430     117.8     469.8      30.3     394.3       5.7       3.4
       431      61.6     285.7      16.1     189.1       4.2       0.0
       432      32.2     223.5      15.4     181.3       3.5       1.6
       433      26.2     200.8      18.9     209.4       3.9       2.6
       434      14.0     157.6      16.3     192.3       5.2       2.5
       435      18.9     153.7      22.5     228.6       5.1       2.2
       436      26.7     154.2      23.0     210.4       7.1       2.1
       437      29.4     150.4      29.2     218.3      10.3       2.6
       438      27.6     171.9      78.4     394.9      13.6       4.7
       439      51.9     291.8     145.3     873.9      29.3       9.7
       440     270.5     834.5     214.0    2132.5      39.8      19.2
       441     215.4     676.7     116.7    1212.2      25.0       9.0
       442      84.0     288.1      32.8     357.9       4.2       0.0
       443      47.9     201.5      17.1     187.2       3.6       0.0
       444      29.8     190.3      19.2     243.6       3.6       1.4
       445      29.0     184.5      23.8     363.5       3.3       2.0
       446      24.4     163.3      25.7     297.7       4.7       2.3
       447      22.9     149.4      23.6     266.3       4.3       2.0
       448      26.9     147.3      22.2     224.6       6.8       1.4
       449      22.1     127.7      24.4     209.6       9.8       2.0
       450      18.5     154.6      40.7     322.0      10.3       4.8
       451      35.9     251.2      73.5     540.1      22.2       9.3
       452     231.1     829.1     166.5    1640.2      39.5      24.2
       453     195.5     772.2     132.4    1431.7      36.8       8.2
       454      95.0     387.9      41.9     524.2       9.6       6.0
       455      72.3     316.0      26.1     323.7       6.1       0.0
       456      52.7     262.4      21.6     300.0       4.6       1.4
       457      43.5     237.6      21.9     345.1       5.8       2.3
       458      31.7     195.1      31.9     411.0       7.7       2.5
       459      40.4     199.6      50.5     583.7       9.2       2.2
       460      27.8     157.8      27.5     323.6       7.6       1.5
       461      24.8     140.4      24.8     268.0      11.2       1.8
       462      20.4     147.5      33.0     310.7      18.6       3.8
       463      62.4     462.7     132.5    1166.9     109.8      18.7
       464     165.8     737.1     145.9    1663.4     103.7      37.5
       465     288.7    1050.9     174.2    2252.1      85.5      19.9
       466     144.4     561.9      69.6     894.1      19.2       7.2
       467      56.3     265.8      24.2     321.5       5.9       2.7
       468      29.8     211.0      18.0     246.0       3.7       1.9
       469      19.7     191.6      18.3     252.9       3.9       2.0
       470      35.2     193.0      28.2     315.6       6.9       2.6
       471      35.9     186.2      31.3     290.0      10.7       2.7
       472      43.9     183.9      49.0     292.7      22.7       3.2
       473      29.5     152.3      39.5     276.7      49.9       3.0
       474      32.7     166.1      71.7     377.7      43.9       6.8
       475     101.9     776.7     336.7    1614.2     105.4      41.3
       476     246.0    1173.1     293.4    2250.3      75.8      53.6
       477     491.4    1624.0     279.9    3125.6      73.7      29.3
       478     286.0    1152.9     182.9    1859.9      23.0       9.9
       479      97.9     472.2      50.3     514.1       5.9       4.2
       480      48.6     296.0      27.3     308.2       4.1       3.1
       481      37.2     265.6      29.0     301.3       6.6       3.3
       482      29.8     228.4      31.7     306.2       7.8       3.2
       483      23.1     197.2      24.3     248.0       7.6       2.6
       484      19.8     173.3      22.4     214.8       7.1       2.4
       485      22.7     163.9      21.1     223.6       7.9       2.5
       486      25.6     163.6      26.9     237.7      11.4       4.7
       487      32.5     242.6      66.2     412.9      39.0      15.8
       488     174.9     601.3     136.2    1356.7      82.5      29.9
       489     252.8     969.0     115.7    1609.4      66.7      18.7
       490     137.1     545.0      50.5     652.4      25.9       8.8
       491      76.8     268.6      22.0     310.5       7.6       3.4
       492      28.0     206.9      17.6     233.6       5.2       2.6
       493      22.5     193.4      18.3     233.8       6.3       2.6
       494      25.6     187.1      24.1     258.7       7.3       2.9
       495      19.9     167.1      19.6     197.1       7.0       2.3
       496      23.9     156.9      23.2     216.3       8.0       2.6
       497      28.4     150.3      26.4     217.7      10.7       3.8
       498      23.0     155.6      35.9     247.5      16.7       4.8
       499      26.8     210.6      79.3     346.1      49.8      14.8
       500     177.2     843.4     222.5    1503.7     124.1      43.9
       501     296.9    1131.5     215.1    2079.5      95.6      25.9
       502     186.4     835.6      81.0     738.3      33.6       8.8
       503      77.2     403.5      28.3     299.2       9.1       5.1
       504      39.0     309.8      20.9     238.5       6.5       3.6
       505      32.6     254.5      21.2     249.1       7.6       3.8
       506      31.3     223.6      24.7     276.4       9.1       3.5
       507      34.9     205.3      32.7     248.6       9.2       3.3
       508      33.0     179.2      32.4     255.1       9.9       3.7
       509      35.8     162.6      26.4     212.7       9.5       3.2
       510      35.6     205.8      70.6     342.4      24.9       8.9
