OBS,AMSTEOE,DAXINDX,FRCAC40,FTSE100,HNGKNGI,JAPDOWA,SNGALLS,SPCOMP
5/14/1986,254.3,1412.63,,1594.3,1820.68,15943.69,213.68,237.54
5/15/1986,256.21,1383.21,,1575.7,1794.17,15924.7,213.23,234.43
5/16/1986,254.93,1370.09,,1564.9,1787.08,15739.05,211.57,232.75
5/19/1986,254.93,1370.09,,1573.1,1765.02,15697.5,210.72,233.2
5/20/1986,258.07,1336.64,,1585.8,1777.27,15690,209.52,236.11
5/21/1986,265.31,1360.14,,1591.9,1794.94,15808.1,210.76,235.45
5/22/1986,265.31,1403.9,,1598.8,1820.98,15917.3,211.34,240.12
5/23/1986,265.31,1401.32,,1617.4,1815.92,16204.98,211.34,241.35
5/26/1986,277.73,1394.34,,1617.4,1811.87,16409.5,214.38,241.35
5/27/1986,275.67,1366.2,,1612.1,1816.3,16467.3,217.36,244.75
5/28/1986,278.04,1363.46,,1624.8,1777.47,16553.39,218.07,246.63
5/29/1986,277.74,1363.46,,1609,1772.76,16610.6,219.64,247.98
5/30/1986,277.98,1380.47,,1602.8,1787.96,16670.77,221.66,247.35
6/02/1986,278.97,1369.47,,1596.5,1781.94,16739.3,227.7,245.04
6/03/1986,275.95,1329.3,,1602.2,1757.91,16669.5,230.23,245.51
6/04/1986,277.51,1345.72,,1601.4,1756.67,16802.7,230.54,243.94
6/05/1986,274.66,1355.58,,1612.6,1748.56,16811,228.94,245.65
6/06/1986,273.56,1366.54,,1611.9,1747.09,16817.9,230.61,245.67
6/09/1986,273.68,1394.43,,1604.6,1748.24,17008.3,230.61,239.96
6/10/1986,272.43,1384.11,,1586.5,1751.36,16967.69,237.35,239.58
6/11/1986,272.93,1386.39,,1571.4,1751.36,17096.39,237.59,241.13
6/12/1986,273.88,1408.88,,1571.8,1752.79,17131.19,237,241.49
6/13/1986,279.03,1420.79,,1582.4,1765.65,17205.97,234.8,245.72
6/16/1986,277.48,1449.28,,1593.6,1765.65,17185.6,236.67,246.13
6/17/1986,277.33,1449.28,,1605.3,1789.34,17075.89,239.63,244.35
6/18/1986,276,1422.16,,1619,1789.78,17177.06,243.53,244.99
6/19/1986,275.77,1400.69,,1629.6,1778.29,17277.59,245.5,244.06
6/20/1986,275.62,1386.02,,1637.2,1781.04,17403.13,247.8,247.56
6/23/1986,276.27,1397.01,,1622.8,1777.15,17457.89,252.65,245.26
6/24/1986,274.06,1368.33,,1624.9,1763.9,17342.39,250.47,247.03
6/25/1986,275.35,1361.97,,1629.4,1759.72,17516.63,252.41,248.93
6/26/1986,275.35,1361.4,,1637.5,1750.38,17600.94,248.62,248.74
6/27/1986,274.56,1381.33,,1634.5,1750.98,17500.43,248.29,249.6
6/30/1986,272.45,1357.45,,1649.8,1739.11,17654.19,244.64,250.84
7/01/1986,269.94,1342.77,,1660.8,1733.51,17622.69,245.4,252.04
7/02/1986,272.56,1354.93,,1656.7,1760.21,17669.89,246.09,252.7
7/03/1986,272.56,1341.01,,1656.2,1757.58,17691.8,242.19,251.79
7/04/1986,274.82,1315.73,,1649,1756.76,17597.73,241.98,251.79
7/07/1986,274.29,1284.47,,1631,1761.52,17714.1,239.5,244.05
7/08/1986,269.64,1288.99,,1599,1752.24,17734.1,241.28,241.59
7/09/1986,272.75,1297.12,,1614.6,1747.61,17506.1,236.49,242.82
7/10/1986,274.09,1327.04,,1626.7,1718.3,17469.8,238.08,243.01
7/11/1986,275.5,1339.04,,1626.4,1721.69,17670.77,240.29,242.22
7/14/1986,273.01,1342.22,,1597.3,1739.93,17820.6,241.53,238.11
7/15/1986,270.4,1309.55,,1593,1764.13,17882.8,239.95,233.66
7/16/1986,268.49,1271.42,,1597.3,1763.38,17700.89,239.57,235.01
7/17/1986,268.34,1290.27,,1609.3,1759.71,17725.6,240.34,236.07
7/18/1986,267.42,1290.51,,1584.4,1759.6,17838.84,239.89,236.36
7/21/1986,264.08,1257.54,,1560.2,1777.73,17522.19,237.01,236.24
7/22/1986,261.61,1248.58,,1559.2,1791.53,17639.3,236.8,238.18
7/23/1986,262.42,1269.15,,1572.3,1816.96,17860.1,236.16,238.67
7/24/1986,260.67,1292.25,,1547.7,1836,18026.19,234.55,237.95
7/25/1986,261.38,1306.12,,1545.8,1843.57,18050.59,234.91,240.22
7/28/1986,262.19,1289.92,,1549.4,1847.29,18038.89,235.87,236.01
7/29/1986,259.35,1285.91,,1556.4,1860.01,17728.89,238.76,234.55
7/30/1986,261.62,1292.39,,1566.3,1847.94,17799,239.08,236.59
7/31/1986,262.27,1288.6,,1558.1,1855.46,17509.69,238.65,236.12
8/01/1986,264.73,1282.63,,1561.8,1874.11,17321.93,238.66,234.91
8/04/1986,265.63,1294.34,,1545.4,1906.28,17263.1,241.68,235.99
8/05/1986,267.8,1320.67,,1561.6,1889.04,17414.8,243.21,237.03
8/06/1986,265.7,1324.01,,1540.4,1887.83,17353.5,242.38,236.84
8/07/1986,265.75,1337.34,,1529.9,1920.18,17422.39,241.7,237.04
8/08/1986,269.53,1391.97,,1526.7,1931.29,17435.52,241.21,236.88
8/11/1986,273.46,1415.58,,1542.8,1927.04,17479.1,242.09,240.68
8/12/1986,275.46,1415.86,,1558.2,1905,17794.69,242.71,243.34
8/13/1986,277.29,1437.88,,1581,1908.02,18000.76,247.14,245.67
8/14/1986,276.64,1439.17,,1588.2,1925.16,18264.69,249.31,246.22
8/15/1986,266.83,1425.87,,1601.9,1935.76,18376.39,251.3,247.15
8/18/1986,268.67,1442.75,,1609,1950.12,18597.39,252.04,247.38
8/19/1986,268.18,1472.66,,1604.4,1935.69,18792.6,250.58,246.51
8/20/1986,267.71,1447.38,,1604.6,1941.28,18936.19,250.3,249.77
8/21/1986,269.66,1466.61,,1606.8,1941.36,18675.6,251.97,249.67
8/22/1986,265.78,1469.06,,1607.1,1946.03,18441.31,251.86,250.19
8/25/1986,262.35,1483.33,,1607.1,1946.03,18565.6,253.66,247.81
8/26/1986,264.45,1464.63,,1616.2,1917,18640.81,252.42,252.84
8/27/1986,268.29,1484.53,,1629.8,1932.99,18503.27,256.19,253
8/28/1986,265.74,1479.73,,1636.8,1934.2,18367.98,257.39,252.84
8/29/1986,265.39,1497.5,,1661.2,1913,18553.68,259.59,252.93
9/01/1986,269.98,1502.7,,1672.8,1903.02,18820.75,264.7,252.93
9/02/1986,273.11,1506.04,,1667.8,1930.61,18694.93,264.7,248.52
9/03/1986,273.11,1488.58,,1670.7,1944.99,18505.44,262.09,250.08
9/04/1986,275.26,1486.12,,1680.3,1946.7,18559.64,261.85,253.82
9/05/1986,276.09,1497.62,,1684.8,1968.53,18775.07,264.39,250.48
9/08/1986,271.75,1477.99,,1666.6,1969.98,18552.2,264.1,248.14
9/09/1986,273.07,1467.4,,1673.4,1966.02,18474.1,262.56,247.67
9/10/1986,271.09,1479.75,,1663.5,1976.16,18619.3,259.71,247.06
9/11/1986,269.97,1478,,1636.5,1997.92,18561.25,262.6,235.18
9/12/1986,262.33,1456.21,,1608.6,1966.33,18100.52,260.55,230.68
9/15/1986,263.68,1456.87,,1628.3,1942.34,18100.52,258.65,231.94
9/16/1986,258.89,1449.63,,1596.7,1927.97,17463.19,256.5,231.72
9/17/1986,258.07,1420.57,,1610.4,1921.99,17336.6,258.83,231.68
9/18/1986,255.38,1397.96,,1615.5,1925.82,17478.3,258.06,232.31
9/19/1986,255.38,1410.57,,1600.4,1925.82,17523.39,256.36,232.21
9/22/1986,258.18,1417.2,,1617.1,1953.6,17706.3,254.53,234.93
9/23/1986,262.58,1447,,1610,1992.6,17706.3,256.47,235.67
9/24/1986,262.05,1436.13,,1603.4,2008.3,17955.8,258.37,236.28
9/25/1986,259.79,1438.67,,1575.9,2011.7,17988.3,255.56,231.83
9/26/1986,256.36,1416.51,,1568.6,2034.36,17960.69,256.64,232.23
9/29/1986,249.92,1401.63,,1539.2,2064.3,18106.31,256.64,229.91
9/30/1986,253.98,1408.02,,1555.8,2068.44,17852.89,256.64,231.32
10/01/1986,256.84,1443.2,,1578.3,2090.24,17564.39,256.64,233.6
10/02/1986,256.84,1448.99,,1573.1,2120.14,17019.1,256.64,233.92
10/03/1986,255.05,1444.66,,1560.8,2134.8,17240.22,256.64,233.71
10/06/1986,254.89,1440.81,,1578.9,2084.93,17435.3,256.64,234.78
10/07/1986,256.84,1454.64,,1592.3,2162.76,17604.39,256.64,234.41
10/08/1986,259.41,1443.42,,1587.8,2204.41,17514.8,256.64,236.68
10/09/1986,255.56,1440.44,,1608.6,2271.15,17650.19,256.64,235.85
10/10/1986,255.56,1429.54,,1599.4,2279.52,17650.19,256.64,235.48
10/13/1986,249.77,1421.69,,1612.3,2279.52,17338.69,256.64,235.91
10/14/1986,251.52,1433.18,,1592.5,2249.22,17318,256.64,235.37
10/15/1986,251.21,1418.42,,1607.5,2289.65,16970.1,256.64,238.8
10/16/1986,251.69,1420.94,,1605,2277.77,16871.89,256.64,239.53
10/17/1986,251.86,1399.79,,1610,2234.89,16701.34,256.64,238.84
10/20/1986,249.36,1395.07,,1590.2,2227.76,16523.39,256.64,235.97
10/21/1986,249.35,1406.79,,1591.2,2238.29,16205.8,256.64,235.88
10/22/1986,248.44,1401.68,,1589.6,2238.29,15819.5,256.64,236.26
10/23/1986,248.09,1410.61,,1572.5,2254.79,16308.3,256.64,239.28
10/24/1986,251.69,1429.15,,1577.1,2286.07,16284,256.64,238.26
10/27/1986,250.89,1420.61,,1586.1,2343.66,16157.8,256.64,238.77
10/28/1986,250.02,1400.72,,1583.6,2355.93,16397.8,256.64,239.26
10/29/1986,247.07,1384.13,,1597,2345.24,16505.39,256.64,240.94
10/30/1986,255.65,1410.16,,1615.8,2312.81,17010.89,253.91,243.71
10/31/1986,255.76,1426.32,,1632.1,2315.63,16910.63,251.95,243.98
11/03/1986,256.58,1432.73,,1639.2,2258.78,16910.63,290.72,245.8
11/04/1986,256.58,1437.4,,1637.7,2265.82,16786.89,289.37,246.2
11/05/1986,254.67,1424.2,,1644.4,2203.71,16713.69,285.08,246.58
11/06/1986,257.34,1429.39,,1648.5,2230.65,16758.3,283.45,245.87
11/07/1986,260.6,1429.93,,1662.6,2218.38,16973.6,281,245.77
11/10/1986,259.71,1425.68,,1656.2,2206.76,17053.2,275.59,246.13
11/11/1986,261.51,1412.39,,1660.9,2207.25,17300.6,275.27,247.08
11/12/1986,260.07,1403.01,,1654.3,2239.71,17447.89,278.82,246.64
11/13/1986,256.81,1411.26,,1644.6,2261.45,17438.5,278.74,243.02
11/14/1986,255.31,1408.84,,1644.3,2244.03,17390.5,277.21,244.5
11/17/1986,253.47,1396.35,,1628,2242.89,17208.1,275.33,243.21
11/18/1986,256.06,1402.91,,1617.5,2249.97,17273.52,279.51,236.78
11/19/1986,255.3,1402.91,,1604.3,2243.34,17283.81,278.5,237.66
11/20/1986,258.4,1411.98,,1610.7,2245.95,17304.6,278.3,242.05
11/21/1986,258.4,1435.01,,1624.9,2273.98,17489.57,272.05,245.86
11/24/1986,263.15,1451.7,,1636.5,2343.59,17489.57,271.43,247.45
11/25/1986,260.14,1456.91,,1619.3,2361.12,17747.5,275.95,248.17
11/26/1986,260.57,1456.91,,1633.2,2377.71,17727.89,274.43,248.77
11/27/1986,261.54,1461.71,,1632.5,2354.33,17883.65,272.43,248.77
11/28/1986,262.23,1466.28,,1636.7,2418.75,18083,271.37,249.22
12/01/1986,259.74,1453.12,,1617.8,2452.15,18308,272.66,249.05
12/02/1986,261.78,1452.67,,1625.5,2458.2,18191,275.94,254
12/03/1986,263.88,1470.41,,1615.1,2460,18455.1,275.82,253.83
12/04/1986,262.36,1460.22,,1610.1,2430.52,18623.89,274.77,253.04
12/05/1986,261.93,1463.9,,1613.5,2400.72,18637.39,275.29,251.17
12/08/1986,262.39,1455.94,,1623.4,2431.29,18710.69,274.86,251.16
12/09/1986,262.8,1455.31,,1635.9,2440.35,18602.69,272.71,249.28
12/10/1986,261.83,1452.82,,1634.6,2442.59,18776.19,272.6,250.96
12/11/1986,264.5,1448.1,,1634,2467.13,18731.19,273.07,248.17
12/12/1986,262.99,1444.15,,1629.8,2463.23,18830.6,273.66,247.35
12/15/1986,258.32,1436.27,,1637,2449.43,18788.89,272.03,248.21
12/16/1986,258.32,1446.98,,1637.9,2440.68,18933.1,271.5,250.04
12/17/1986,255.11,1436.98,,1636.3,2411.08,18847.89,272.9,247.56
12/18/1986,254.45,1429.95,,1630.6,2422.22,18723.69,274.74,246.78
12/19/1986,256.82,1428.2,,1632.2,2463.81,18930,275.12,249.44
12/22/1986,256.82,1421.62,,1652.2,2503.77,18825.39,273.35,248.75
12/23/1986,254.6,1435.64,,1660.9,2501.94,18808.5,273.56,246.34
12/24/1986,254.37,1435.64,,1665.1,2523.92,18902.85,274.39,246.75
12/25/1986,254.37,1435.64,,1665.1,2523.92,18902.85,274.39,246.75
12/26/1986,254.37,1435.64,,1665.1,2523.92,18820.64,274.48,246.92
12/29/1986,254.37,1434.26,,1671.6,2552.45,18820.64,270.44,244.67
12/30/1986,252.75,1432.25,,1673.1,2559.36,18820.64,273.42,243.37
12/31/1986,252.75,1432.25,,1679,2568.3,18820.64,273.42,242.17
1/01/1987,252.75,1432.25,,1679,2568.3,18820.64,270.75,242.17
1/02/1987,252.67,1413.17,,1681.1,2540.06,18820.64,271.14,246.45
1/05/1987,253.04,1421.88,,1680,2552.4,18820.5,270.82,252.19
1/06/1987,251.22,1434.26,,1690.7,2583.87,18936.8,270.42,252.78
1/07/1987,251.96,1418.05,,1722.2,2607.11,18842.39,270.72,255.33
1/08/1987,251.96,1382.34,,1733.1,2603.33,18778.69,273.4,257.28
1/09/1987,251.96,1348.72,,1752.3,2561.73,18810.3,278.7,258.73
1/12/1987,236.97,1336.44,,1755.6,2614.87,18669,284.7,260.3
1/13/1987,237.85,1326.7,,1763.3,2590.83,18544,285.82,259.95
1/14/1987,239.99,1331.2,,1765.2,2578.23,18784.64,288.88,262.64
1/15/1987,242.95,1353.4,,1789,2559.12,18784.64,285.78,265.49
1/16/1987,244.44,1356.79,,1789,2542.57,19149.63,286.93,266.28
1/19/1987,240.37,1328.3,,1778.4,2460.46,19188.7,287.97,269.34
1/20/1987,240.9,1330.49,,1778.9,2449.88,19216.1,285.18,269.04
1/21/1987,239.94,1332.32,,1761.6,2533.9,19429.19,287.97,267.84
1/22/1987,239.59,1336.78,,1777.5,2536.94,19380.5,286.79,273.91
1/23/1987,239.47,1347.75,,1795.3,2499.43,19456.6,284.94,270.11
1/26/1987,233.45,1309.03,,1781.8,2484.35,19554.69,284.04,269.61
1/27/1987,232.73,1294.76,,1814.4,2524.01,19686.8,283.88,273.75
1/28/1987,227.21,1249.94,,1812.1,2553.25,19789.89,288.72,275.4
1/29/1987,231.2,1272.92,,1798.1,2553.25,19921,288.72,274.24
1/30/1987,235.24,1294.45,,1808.3,2553.25,20048.3,288.72,274.08
2/02/1987,233.02,1276.38,,1832.8,2585.22,20072.1,291.32,276.45
2/03/1987,230.65,1241.23,,1828.6,2606.38,19956.3,292.97,275.99
2/04/1987,230.03,1216.31,,1846.7,2636.63,19973.89,294.08,279.64
2/05/1987,231.48,1229.63,,1866.1,2652.14,19795.1,295.18,281.16
2/06/1987,231.7,1250.68,,1898.4,2673.57,19668.81,294.29,280.04
2/09/1987,230.16,1269.94,,1910.7,2713.67,19679.31,296.33,278.16
2/10/1987,228.8,1254.36,,1874.9,2694.85,19814,299.08,275.07
2/11/1987,230.81,1253.62,,1895.8,2739.47,19814,300.8,277.54
2/12/1987,233.42,1265.63,,1878.6,2754.72,19874.89,304.3,278.04
2/13/1987,232.89,1277.46,,1898.1,2740.49,19628.86,305.23,279.7
2/16/1987,232.15,1260.31,,1925.8,2766.06,19532.5,309.1,279.7
2/17/1987,233.77,1232.9,,1942,2792.08,19637.89,306.83,285.49
2/18/1987,235.35,1249.04,,1952,2801.48,19881.8,309.5,285.42
2/19/1987,236.47,1276.75,,1930.1,2775.82,20228.1,313.84,285.57
2/20/1987,237.98,1265.44,,1961.5,2827.4,20080.39,317.97,285.48
2/23/1987,235.26,1242.94,,1939.7,2879.01,19940.5,315.63,282.38
2/24/1987,235.54,1239.86,,1946.8,2848.19,20076.5,315.2,282.88
2/25/1987,236.24,1250.98,,1973.1,2873.58,20186.3,317.81,284
2/26/1987,235.27,1243.87,,1980.2,2843.6,20453.89,317.31,282.96
2/27/1987,233.95,1244.36,,1979.2,2877.87,20421.64,318.31,284.2
3/02/1987,235.27,1236.55,,1983.1,2894.26,20933.8,317.93,283
3/03/1987,231.18,1244.02,,1998.3,2939.05,20971.39,316.05,284.12
3/04/1987,234.08,1256.7,,2002.7,2890.93,21031.69,318.93,288.62
3/05/1987,236.76,1273.63,,2002.8,2798.44,21176.02,321.35,290.52
3/06/1987,236.48,1262.8,,1998.2,2798.24,21105.8,321.93,290.66
3/09/1987,236.56,1275.19,,1973.7,2820.38,21166.39,322.18,288.3
3/10/1987,237.21,1264.03,,1987.7,2731.05,21214.5,322.32,290.86
3/11/1987,240.62,1253.39,,1979.4,2760.9,21313,320.49,290.31
3/12/1987,242.07,1250.23,,1989.7,2750.14,21470.19,318.75,291.22
3/13/1987,243.77,1243.09,,2000,2721.17,21497.89,313.99,289.89
3/16/1987,241.31,1238.37,,1991.8,2669.57,21415.39,312.78,288.23
3/17/1987,241.27,1220.85,,2006.3,2629.28,21514.69,307.34,292.47
3/18/1987,244.49,1214.38,,2006.6,2724.01,21705.1,311.17,292.78
3/19/1987,239.92,1179.83,,1991,2721.28,21644.3,312.17,294.08
3/20/1987,241.28,1196.12,,2017.5,2780.55,21657.6,318.43,298.17
3/23/1987,242.68,1217.32,,2033,2813.4,21588.19,318.87,301.16
3/24/1987,241.29,1235.58,,2056.2,2828.07,21435.3,315.47,301.64
3/25/1987,238.78,1240.45,,2042.9,2831.5,21473,319.97,300.38
3/26/1987,239.27,1270.5,,2037.8,2783.12,21558.8,319.93,300.93
3/27/1987,242.3,1306.8,,2048.6,2798.74,22026.6,319.15,296.13
3/30/1987,244.8,1296.76,,2002.5,2774.88,21627.6,317.27,289.2
3/31/1987,241.56,1301.71,,1997.6,2713.81,21566.69,314.02,291.7
4/01/1987,241.56,1332.54,,1973.1,2695.91,22040.19,309.83,292.39
4/02/1987,246.91,1334.32,,1987.7,2709.41,22367.69,313.64,293.63
4/03/1987,247.19,1335.33,,1965.1,2679.99,22410.8,316.37,300.41
4/06/1987,253.87,1358.2,,1989.6,2679.99,22586.1,317.86,301.95
4/07/1987,255.99,1331.35,,1987,2664.7,22784.6,316.47,296.69
4/08/1987,256.01,1337.45,,1976.7,2729.55,22913,319.28,297.26
4/09/1987,253.57,1327.37,,1962.8,2785.47,22922.19,322.75,292.86
4/10/1987,249.28,1297.95,,1936.7,2766.41,23216.5,323.57,292.49
4/13/1987,248.01,1282.22,,1917.1,2708.94,22919.5,326.7,285.62
4/14/1987,244.44,1299.96,,1908.9,2668.35,23524.1,326.02,279.16
4/15/1987,246.84,1312.12,,1922.2,2693.62,23510.69,325.77,284.44
4/16/1987,248.98,1323.28,,1949.4,2721.12,23868.43,325.77,286.91
4/17/1987,248.98,1323.28,,1949.4,2721.12,23868.43,325.77,286.91
4/20/1987,248.98,1323.28,,1949.4,2721.12,23868.43,329.28,286.09
4/21/1987,246.1,1312.6,,1940.2,2713.36,23886.1,334.03,293.07
4/22/1987,248.93,1343.66,,1955.7,2716.89,24097.69,338.46,287.19
4/23/1987,246.88,1336.11,,1968.3,2719.89,24024.6,336.28,286.82
4/24/1987,244.44,1315.21,,2001.5,2707.61,24006.3,337.16,281.52
4/27/1987,239.04,1282.11,,1986.6,2636.47,23072.39,338.03,281.83
4/28/1987,239.04,1310.52,,2022.1,2617.08,22889.89,337.68,282.51
4/29/1987,241.68,1314.43,,2038.6,2589.54,22889.89,335.09,284.57
4/30/1987,241.68,1308.14,,2050.5,2659.85,23274.8,334.57,288.36
5/01/1987,240.89,1308.14,,2068.5,2685.37,23680.8,334.57,288.03
5/04/1987,239.08,1309.63,,2068.5,2685.75,23680.8,334.55,289.36
5/05/1987,238.56,1311.41,,2065.1,2713.83,23680.8,336.54,295.34
5/06/1987,242.23,1326.7,,2086.5,2792.89,23918.5,336.8,295.47
5/07/1987,244.2,1328.86,,2077.9,2785.56,24207.55,336.24,294.71
5/08/1987,244.87,1324.95,,2126.5,2805.06,24589.23,336.87,293.37
5/11/1987,246.76,1323.35,,2163.3,2846.93,24608.22,340.96,291.57
