Fortified Drywhite Sweetwhite Red Rose Sparkling Total Month Year
2585    1954      85     464     112    1686   15136 January    1980
1330    2211     198    1007      54    1902   16052 January    1991
1686    3260     253    1665      55    2049   22146 February
2457    2992     173    1642      66    1874   21198 March
2514    2425     186    1518      65    1279   19543 April
2834    2707     185    1831      60    1432   22084 May
2757    3244     105    2207      65    1540   23816 June
3425    3965     228    2822      96    2214   29961 July
3006    3315     214    2393      55    1857   26773 August
2369    3333     189    2306      71    2408   26635 September
2017    3583     270    1785      63    3252   26972 October
2507    4021     277    2047      74    3627   30207 November
3168    4904     378    2171     106    6153   38687 December
1545    2252     185    1212      34    1577   16974 January    1992
1643    2952     182    1335      47    1667   21697 February
2112    3573     258    2011      56    1993   24179 March
2415    3048     179    1860      53    1997   23757 April
2862    3059     197    1954      53    1783   25013 May
2822    2731     168    2152      55    1625   24019 June
3260    3563     250    2835      67    2076   30345 July
2606    3092     211    2224      52    1773   24488 August
2264    3478     260    2182      46    2377   25156 September
2250    3478     234    1992      51    3088   25650 October
2545    4308     305    2389      58    4096   30923 November
2856    5029     347    2724      91    6119   37240 December
1208    2075     203     891      33    1494   17466 January    1993
1412    3264     217    1247      40    1564   19463 February
1964    3308     227    2017      46    1898   24352 March
2018    3688     242    2257      45    2121   26805 April
2329    3136     185    2255      41    1831   25236 May
2660    2824     175    2255      55    1515   24735 June
2923    3644     252    3057      57    2048   29356 July
2626    4694     319    3330      54    2795   31234 August
2132    2914     202    1896      46    1749   22724 September
1772    3686     254    2096      52    3339   28496 October
2526    4358     336    2374      48    4227   32857 November
2755    5587     431    2535      77    6410   37198 December
1154    2265     150    1041      30    1197   13652 January    1994
1568    3685     280    1728      35    1968   22784 February
1965    3754     187    2201      42    1720   23565 March
2659    3708     279    2455      48    1725   26323 April
2354    3210     193    2204      44    1674   23779 May
2592    3517     227    2660      45    1693   27549 June
2714    3905     225    3670      *     2031   29660 July
2294    3670     205    2665      *     1495   23356 August
2416    4221     259    2639      46    2968
2016    4404     254    2226      51    3385
2799    5086     275    2586      63    3729
2467    5725     394    2684      84    5999
1153    2367     159    1185      30    1070
1482    3819     230    1749      39    1402
1818    4067     188    2459      45    1897
2262    4022     195    2618      52    1862
2612    3937     189    2585      28    1670
2967    4365     220    3310      40    1688
3179    4290     274    3923      62    2031




