"Date" "Chemicals" "Coal" "Petrol"  "Vehicles"
OCT85 15.903 79.711 14.776 17.404
NOV85 15.314 68.881 15.449 16.435
DEC85 16.194 69.593 15.262 13.123
JAN86 16.246 77.804 13.937 16.744
FEB86 16.943 72.209 12.002 17.410
MAR86 17.069 77.078 10.834 16.484
APR86 17.320 74.333 10.568 17.103
MAY86 16.421 72.568 11.049 17.301
JUN86 16.979 72.071 10.246 17.301
JUL86 14.749 67.253  9.413 12.843
AUG86 16.141 75.912  9.682 13.748
SEP86 17.461 74.407  9.671 16.904
OCT86 15.934 79.412  8.991 17.342
NOV86 15.581 69.774  9.224 15.476
DEC86 16.246 73.201  9.261 15.424
JAN87 16.394 74.473  9.289 15.988
FEB87 17.353 71.447  9.333 19.244
MAR87 17.887 75.609  9.663 18.715
APR87 17.784 70.768  9.907 17.780
MAY87 17.959 70.436 10.318 17.160
JUN87 18.705 76.780 10.772 17.349
JUL87 16.474 69.427 11.194 11.171
AUG87 17.652 80.348 11.176 13.438
SEP87 19.064 82.118 10.952 16.713
OCT87 17.780 85.630 10.984 18.369
NOV87 17.600 78.919 10.699 17.067
DEC87 18.053 79.246 10.241 14.055
JAN88 19.957 75.364 10.257 15.500
FEB88 20.942 76.778 10.047 18.475
MAR88 22.343 83.964 10.606 19.423
APR88 22.053 75.351 10.891 18.686
MAY88 21.286 73.979 11.160 19.646
JUN88 22.504 76.448 11.651 19.733
JUL88 20.243 69.198 11.500 12.605
AUG88 21.897 88.206 11.713 16.616
SEP88 22.816 83.272 11.004 19.156
OCT88 21.879 80.853 10.860 21.348
NOV88 21.676 82.973 10.853 20.049
DEC88 22.102 80.324 10.873 18.020
JAN89 22.459 81.969 10.590 20.262
FEB89 23.136 75.040 10.728 21.789
MAR89 23.686 88.981 11.354 20.603
APR89 23.971 77.145 12.618 21.928
MAY89 23.244 82.486 12.712 21.025
JUN89 24.264 78.544 13.077 19.346
JUL89 21.819 66.269 12.384 11.786
AUG89 22.661 90.824 12.350 19.082
SEP89 23.602 84.618 12.625 20.127
OCT89 22.187 89.574 12.777 20.217
NOV89 21.805 86.965 12.357 20.385
DEC89 22.353 72.554 12.738 16.653
JAN90 22.131 90.276 13.268 13.065
FEB90 23.190 81.756 12.571 20.275
MAR90 24.548 91.292 12.442 21.776
APR90 24.252 82.880 12.687 20.260
MAY90 23.506 86.200 12.995 22.523
JUN90 24.736 84.276 13.039 23.033
JUL90 22.049 79.535 13.035 14.133
AUG90 24.493 91.515 16.683 20.110
SEP90 25.487 82.813 18.752 19.682
OCT90 24.260 93.078 19.604 22.197
NOV90 23.929 86.461 18.201 17.212
DEC90 23.031 75.487 16.080 11.784
JAN91 23.701 85.810 14.935 15.467
FEB91 24.205 82.592 13.261 17.002
MAR91 24.200 85.012 12.838 15.952
APR91 24.971 79.324 13.509 18.767
MAY91 24.560 79.917 14.352 20.605
JUN91 24.992 76.896 14.136 19.809
JUL91 22.566 79.720 13.672 14.233
AUG91 24.037 88.818 14.394 19.311
SEP91 25.047 81.504 14.406 20.827
OCT91 24.115 90.230 14.587 23.388
NOV91 23.034 81.644 14.271 20.181
DEC91 22.590 79.244 12.981 14.344
