	Yrwk	Orr	Vvd	Cda	D66	Pvda	Glef	trend	wnOrr	wnVvd	wnCda	wnD66	wnPvda	wnGlef
1980-4	8004	6.36	4.9897	5.1077	3.5113	2.8299	2.05	0.0108	28	102	275	139	314	22
1980-5	8005	6.0952	5.396	5.03	3.4957	2.81	2.5417	0.0109	25	113	281	126	246	27
1980-6	8006	6.44	5.0396	5.0041	3.5763	2.7852	2	0.011	26	106	266	129	296	45
1980-7	8007	6.6087	5.2022	5.1536	3.5579	2.9321	2.0789	0.0111	25	97	329	102	345	42
1980-8	8008	6.2381	5.0943	5.2895	3.5913	2.834	2.1087	0.0112	21	109	287	121	265	49
1980-9	8009	5.95	5.0849	5.2538	3.5514	2.9203	2.2037	0.0113	21	115	282	119	276	55
1980-10	8010	6.3913	5.1807	5.1835	3.6701	2.7848	2.2188	0.0114	23	86	286	101	238	34
1980-11	8011	6.16	5.1429	5.2591	3.4615	2.9081	2.2727	0.0115	26	103	324	117	300	34
1980-12	8012	6.4545	5.35	5.2682	3.65	2.6727	2.2632	0.0116	24	89	275	108	303	41
1980-13	8013	5.8182	5.1667	5.126	3.6632	2.8633	2.2093	0.0117	25	112	262	101	278	46
1980-14	8014	6.6957	5.2967	5.2321	3.5893	2.8826	2.2381	0.0118	27	94	314	119	279	46
1980-15	8015	5.875	4.88	5.2099	3.5748	2.84	2.1429	0.0119	21	77	288	135	275	42
1980-16	8016	6.0909	5.2	5.2368	3.7778	2.8206	2.5789	0.012	36	105	321	102	245	41
1980-17	8017	6.4348	5.299	5.1313	3.5217	2.9431	2.3333	0.0121	23	100	313	147	313	48
1980-18	8018	6.3333	5.2796	5.1596	3.4528	3.0705	2.1277	0.0122	21	97	307	113	263	49
1980-19	8019	6.2632	5.0957	5.1137	3.5946	3.06	2.3548	0.0123	20	101	316	115	271	31
1980-20	8020	6.15	5.0964	5.2075	3.57	2.9061	1.9677	0.0124	21	87	290	110	240	35
1980-21	8021	6.3684	5.068	5.128	3.7294	2.8813	2.6579	0.0125	20	106	279	89	235	41
1980-22	8022	6	5.0476	5.1868	3.5593	2.7778	2.1731	0.0126	24	109	280	130	262	55
1980-23	8023	5.9444	4.8991	5.1167	3.6148	2.9868	2.4286	0.0127	20	113	284	134	252	50
1980-24	8024	6.5	5.1053	5.1416	3.7333	2.9318	2.4	0.0128	14	99	246	158	244	48
1980-25	8025	6.55	5.2475	5.0535	3.6952	2.7967	2.0667	0.0129	22	107	271	116	262	48
1980-26	8026	6.1111	5.1649	5	3.5	2.9108	2.1667	0.013	19	104	294	160	233	43
1980-27	8027	6.1739	5.2532	5.246	3.7	2.8883	2.0625	0.0131	23	85	205	129	209	33
1980-28	8028	6.4375	4.9355	5.189	3.8404	2.9719	2.2727	0.0132	16	67	179	99	190	34
1980-29	8029	6.8667	4.8375	5.1856	3.7312	2.7656	2.4348	0.0133	15	87	205	97	209	24
1980-30	8030	6.3636	5.1053	5.0447	3.593	2.8114	2.8571	0.0134	12	58	184	95	196	23
1980-31	8031	6.2188	4.9821	5.202	3.7132	3.0348	2.3158	0.0135	34	116	315	136	246	40
1980-32	8032	6.3529	5.2647	5.0541	3.6835	2.955	2.16	0.0136	18	70	191	82	214	26
1980-33	8033	6.1905	4.9109	5.1405	3.8113	3.055	2.375	0.0137	22	108	263	119	242	42
1980-34	8034	6.1176	4.9694	5.1157	3.656	2.9506	2.4571	0.0138	19	105	289	133	271	41
1980-35	8035	6.0952	5.1429	5.0506	3.6195	2.8008	2.4792	0.0139	24	106	284	121	281	48
1980-36	8036	6.0606	5.0508	4.9626	3.576	3.1346	2.0545	0.014	34	129	322	138	281	60
1980-37	8037	5.65	4.991	5.0892	3.531	2.9041	1.8571	0.0141	21	118	293	121	240	31
1980-38	8038	6.2174	5.1471	5.0584	3.6894	2.9321	2.2128	0.0142	25	109	297	171	279	47
1980-39	8039	6.0357	5.0104	5.2074	3.5077	2.94	2.3333	0.0143	29	107	233	140	279	57
1980-40	8040	6.05	4.7867	5.0619	3.5161	2.9919	2.2051	0.0144	22	81	250	102	278	39
1980-41	8041	6.7619	5.0309	5.017	3.8725	2.8407	1.8621	0.0145	21	106	248	105	245	30
1980-42	8042	6.3529	5.1735	5.0535	3.6132	2.8935	2.1875	0.0146	17	99	261	113	279	35
1980-43	8043	6.381	5.1233	5.0643	3.5686	3.0502	2.1515	0.0147	23	78	263	113	244	33
1980-44	8044	6.5926	5.0211	5.0923	3.5098	3.034	2.1967	0.0148	27	101	294	163	285	65
1980-45	8045	6.2069	5.1515	5.0351	3.6391	2.8357	2.1667	0.0149	29	103	305	137	306	44
1980-46	8046	6.625	5.1053	5.1799	3.623	2.9145	2.4872	0.015	18	82	261	131	248	41
1980-47	8047	6.3	5.2637	5.1727	3.5741	2.8899	2.2564	0.0151	23	95	273	115	245	43
1980-48	8048	6.0909	5.172	4.995	3.4938	2.798	1.9714	0.0152	23	104	219	88	211	37
1980-49	8049	6.2857	5.0513	5.1489	3.8276	3	2.3721	0.0153	21	84	256	92	211	45
1980-50	8050	6.1667	4.9808	5.0704	3.5319	2.9074	2.2222	0.0154	12	111	211	97	183	27
1980-51	8051	5.95	4.9286	5.0894	3.7113	2.8144	2.2955	0.0155	20	89	247	100	210	45
1980-52	8052	6.5714	5.0253	5.139	3.7042	2.7807	2.3438	0.0156	14	82	203	72	209	34
1981-1	8077	6.37945	5.0356	5.10625	3.6449	2.8558	2.4497	0.0157	0	0	0	0	0	0
1981-2	8102	6.1875	5.0459	5.0735	3.5856	2.9309	2.5556	0.0158	17	114	260	116	264	40
1981-3	8103	5.9474	4.9213	4.9139	3.4322	2.8514	2.1515	0.0159	20	90	278	125	273	34
1981-4	8104	6.25	5.0308	5.0249	3.4954	3.0369	2.4545	0.016	16	69	252	114	233	35
1981-5	8105	6.1111	5.1791	4.8427	3.5655	2.907	2.2791	0.0161	27	139	286	148	276	45
1981-6	8106	6.15	5.1887	4.9922	3.4713	2.8602	2.2321	0.0162	20	110	276	162	300	57
1981-7	8107	5.8846	5.2574	4.8884	3.6585	2.6756	2.5556	0.0163	26	107	265	127	235	46
1981-8	8108	6.3333	4.9406	4.8678	3.4057	2.7727	2.4375	0.0164	24	105	254	110	259	49
1981-9	8109	6.5625	5	5.1116	3.4811	2.9095	2.4727	0.0165	16	107	241	108	244	59
1981-10	8110	5.92	5.0737	4.8413	3.4831	2.7753	2.4444	0.0166	27	100	195	91	235	37
1981-11	8111	5.8182	5.0306	4.9067	3.4444	2.7438	2.1778	0.0167	22	102	242	95	253	48
1981-12	8112	5.8649	5.186	4.9817	3.5948	2.7733	2.25	0.0168	38	133	228	122	234	53
1981-13	8113	5.8125	4.9029	4.9619	3.3786	2.8539	2.1395	0.0169	19	105	223	109	229	43
1981-14	8114	5.9714	5.069	5.0658	3.459	2.878	2.3793	0.017	35	118	250	134	265	60
1981-15	8115	5.8636	5.0789	5.0941	3.6069	2.8893	2.3778	0.0171	24	122	304	149	281	49
1981-16	8116	6.1111	5.0303	4.953	3.5402	2.9899	2.1154	0.0172	19	105	244	92	208	53
1981-17	8117	6	5.087	4.9627	3.5052	2.6568	2.16	0.0173	19	95	170	105	177	50
1981-18	8118	6.0909	5.0377	5.0933	3.6832	2.7513	2.3878	0.0174	12	111	203	104	207	52
1981-19	8119	5.7778	5.0455	5.057	3.7059	2.604	2.2979	0.0175	28	134	240	124	264	47
1981-20	8120	6.0556	5	5.0352	3.5867	2.5907	2.375	0.0176	18	100	208	78	225	40
1981-21	8121	6.2308	5.127	5.1471	3.7042	2.8664	2.4667	0.0177	26	130	216	78	259	47
1981-22	8122	5.5385	5.1241	4.971	3.4412	2.5385	2.493	0.0178	28	141	245	105	338	72
1981-23	8123	6.075	5.0253	5.0347	3.6486	2.7213	2.1975	0.0179	42	167	275	152	258	84
1981-24	8124	6.0385	4.9766	5.1529	3.6174	2.7136	2.2436	0.018	27	132	260	130	220	83
1981-25	8125	5.8	5.1074	4.939	3.5806	2.7185	2.1912	0.0181	36	150	264	191	255	70
1981-26	8126	6	4.9853	4.8547	3.586	2.7763	2.3333	0.0182	28	140	254	165	241	62
1981-27	8127	5.8947	5.1164	5.0938	3.408	2.8316	2.098	0.0183	20	149	205	132	205	53
1981-28	8128	5.907	5.0602	4.977	3.5315	2.7773	2.2542	0.0184	44	139	271	147	222	60
1981-29	8129	5.9091	5.0609	5.0222	3.4643	2.756	1.9821	0.0185	35	122	244	115	217	56
1981-30	8130	5.963	5.198	5.0444	3.6486	2.7673	2.4423	0.0186	28	104	231	118	214	55
1981-31	8131	6.2	5.0531	4.9327	3.5794	2.8218	2.2703	0.0187	20	118	234	114	186	37
1981-32	8132	5.9375	5.0602	5.0378	3.5269	2.7488	2.0926	0.0188	33	137	252	95	212	55
1981-33	8133	6.037	4.8333	4.9696	3.6095	2.9158	2.3333	0.0189	29	117	243	113	211	62
1981-34	8134	6.0476	5.0342	5.0212	3.7963	2.8173	2.2791	0.019	22	120	251	110	221	44
1981-35	8135	5.6486	5.1345	5.0864	3.6812	2.6809	2.1837	0.0191	38	126	226	139	252	55
1981-36	8136	6	5.0259	4.9606	3.5841	2.5897	2.2245	0.0192	31	121	267	116	211	49
1981-37	8137	5.5556	5.1275	4.9	3.4522	2.7689	2.1429	0.0193	38	157	304	166	259	71
1981-38	8138	6.125	5.1197	5.0511	3.5338	2.7992	2.5179	0.0194	25	148	295	139	261	57
1981-39	8139	6.1429	4.9466	5.0047	3.4844	2.7163	2.2281	0.0195	22	139	227	141	216	60
1981-40	8140	5.9643	5.0879	4.99	3.5596	3.0417	2.1569	0.0196	29	97	219	118	179	51
1981-41	8141	5.9583	4.9036	5.0275	3.5941	2.8676	2.3617	0.0197	25	88	196	107	227	49
1981-42	8142	6.36	5.1087	4.9091	3.4941	2.8466	2.1667	0.0198	29	100	234	89	186	25
1981-43	8143	5.7	4.8851	4.8582	3.7312	2.6644	2.2258	0.0199	21	93	150	94	158	33
1981-44	8144	5.9444	5.1241	4.9474	3.5603	2.935	2.06	0.02	36	143	242	121	215	50
1981-45	8145	6.3333	4.8493	5.0456	3.75	2.799	2.3469	0.0201	28	154	260	126	206	50
1981-46	8146	6.125	5.0224	4.9409	3.7436	2.8098	2.119	0.0202	27	140	216	124	213	43
1981-47	8147	5.9565	4.8879	4.9744	3.766	2.8314	2.2069	0.0203	24	115	249	100	185	63
1981-48	8148	6.0345	5.0203	5.0617	3.4844	2.6927	2.2326	0.0204	31	153	261	133	206	43
1981-49	8149	6.1852	5.1832	4.9	3.5865	2.7579	1.9636	0.0205	29	134	213	109	196	55
1981-50	8150	5.6087	5.065	4.9447	3.5938	2.869	2.4231	0.0206	25	127	252	102	183	55
1981-51	8151	5.85	4.9556	5.0494	3.5158	2.8049	2.1163	0.0207	21	93	173	102	129	44
1981-52	8152	6.1154	5.1892	4.9944	3.5316	2.9453	2.3	0.0208	26	74	186	80	139	43
1982-1	8201	5.76	4.9462	4.979	3.6378	2.9317	2.4407	0.0209	28	97	243	129	165	62
1982-2	8202	5.7	5.0833	4.9717	3.7073	2.9661	2.3077	0.021	22	133	223	88	130	42
1982-3	8203	6.3214	5.0635	5.1116	3.6488	2.8782	2.2414	0.0211	31	131	269	179	160	62
1982-4	8204	5.8261	4.9815	4.9964	3.6779	2.9045	2.3544	0.0212	27	169	295	159	193	83
1982-5	8205	5.8571	4.8387	4.8921	3.6667	2.6984	2.5902	0.0213	23	127	257	109	133	63
1982-6	8206	5.9615	4.7403	4.8993	3.7872	2.8862	2.4643	0.0214	27	164	303	146	181	87
1982-7	8207	5.4839	4.8509	4.888	3.7419	2.9396	2.3929	0.0215	32	169	259	128	153	61
1982-8	8208	5.8276	5.0508	4.9902	3.7238	2.8521	2.338	0.0216	31	127	212	109	148	75
1982-9	8209	6.1364	4.8681	4.7895	3.5294	2.7529	2.2647	0.0217	23	147	264	114	180	71
1982-10	8210	5.9655	4.8188	4.9398	3.6	2.8013	2.4478	0.0218	30	152	234	84	161	70
1982-11	8211	6.0741	4.9209	4.9556	3.75	2.7571	2.3103	0.0219	31	148	268	96	146	59
1982-12	8212	6.3548	4.8095	4.9439	3.4242	2.8113	2.2973	0.022	32	154	303	109	169	80
1982-13	8213	5.5833	4.8321	4.9621	3.5278	2.5707	2.0909	0.0221	24	143	308	73	220	68
1982-14	8214	5.4872	4.8827	4.9441	3.7397	2.7072	2.411	0.0222	39	170	301	76	191	75
1982-15	8215	5.8636	4.9558	4.8112	3.7808	2.8538	2.4253	0.0223	26	188	244	77	177	90
1982-16	8216	5.9535	5.1346	4.8866	3.6418	2.8087	2.4388	0.0224	45	166	265	72	198	102
1982-17	8217	5.8421	5.0765	4.8826	3.7067	2.8063	2.3077	0.0225	41	195	298	76	207	68
1982-18	8218	6.1	4.8538	4.9154	3.7467	2.7561	1.9222	0.0226	32	178	275	82	182	95
1982-19	8219	6.0333	5.0409	4.8715	3.75	2.9813	2.1549	0.0227	32	185	269	75	180	74
1982-20	8220	6.3333	4.8457	4.913	3.7213	2.7907	2.481	0.0228	35	195	265	67	225	79
1982-21	8221	6.0476	4.9949	4.9876	3.5161	2.8774	2.2286	0.0229	23	201	264	68	226	73
1982-22	8222	5.9355	4.894	4.9461	3.7391	2.7485	2.1563	0.023	32	158	232	49	186	66
1982-23	8223	5.8889	4.8421	5.0164	3.5306	2.7801	2.2222	0.0231	28	199	268	51	253	63
1982-24	8224	5.8519	4.9828	5.1826	3.7719	2.6927	2.3067	0.0232	31	177	266	59	234	77
1982-25	8225	6	5.0316	4.8618	3.6078	2.8693	2.28	0.0233	28	168	233	51	208	50
1982-26	8226	5.9821	5.0269	4.9367	3.6747	2.8451	1.9537	0.0234	59	276	488	90	385	112
1982-27	8227	6	5	5.0131	3.8214	2.8312	2.1282	0.0235	25	213	251	64	249	81
1982-28	8228	6.0909	5.014	5.0254	3.5208	2.875	2.2157	0.0236	34	151	254	51	212	54
1982-29	8229	5.8636	5.0773	4.9496	3.6	2.7682	2.3043	0.0237	22	243	354	71	326	74
1982-30	8230	5.9787	5.0571	4.8352	3.6038	2.8061	2.3049	0.0238	47	217	283	55	311	84
1982-31	8231	5.9808	5.014	4.8707	3.6824	2.824	2.44	0.0239	56	297	452	87	399	105
1982-32	8232	5.9032	4.9628	4.9625	3.8202	2.8131	2.25	0.024	65	364	519	93	454	119
1982-33	8233	5.7097	4.9403	4.9457	3.5918	2.9259	2.3313	0.0241	65	400	566	155	587	168
1982-34	8234	6.0256	4.9931	4.9857	3.5909	2.8789	2.3	0.0242	81	448	604	114	593	165
1982-35	8235	5.9385	4.8913	4.8929	3.8171	2.7495	2.4303	0.0243	67	429	555	88	576	167
1982-36	8236	5.7945	4.8676	4.9633	3.8378	2.6547	2.378	0.0244	77	387	519	76	556	133
1982-37	8237	6.2857	4.9017	5.0915	3.9268	2.8575	2.2887	0.0245	36	253	312	43	381	99
1982-38	8238	6.15	4.8432	5	3.5	2.7336	2.3889	0.0246	43	194	225	41	301	57
1982-39	8239	6.027	4.9297	5.0516	3.6667	2.8824	2.4821	0.0247	37	191	216	25	267	57
1982-40	8240	5.9459	5	4.9383	3.6857	2.8373	2.4912	0.0248	37	203	245	36	274	60
1982-41	8241	5.6522	4.931	4.9858	3.8261	2.7778	2.3571	0.0249	24	161	231	24	280	59
1982-42	8242	5.9211	4.7377	4.9116	3.5862	2.8036	2.7206	0.025	41	186	230	30	291	69
1982-43	8243	5.037	4.8738	4.976	3.6552	2.8031	2.1719	0.0251	31	226	217	29	274	69
1982-44	8244	5.9394	4.8214	4.7395	3.5217	2.9233	2.2807	0.0252	36	205	259	23	295	60
1982-45	8245	5.7813	4.9767	4.7628	3.64	2.8374	2.3692	0.0253	33	218	224	28	263	66
1982-46	8246	5.9677	4.9146	4.8611	3.7895	2.8405	2.5769	0.0254	33	166	228	19	274	53
1982-47	8247	6.2083	4.9866	4.8235	3.6154	2.9741	2.4615	0.0255	24	157	219	29	251	66
1982-48	8248	5.7407	4.9133	4.7629	4	2.8353	2.7234	0.0256	29	159	203	17	271	47
1982-49	8249	5.7059	4.9006	4.8077	3.3125	2.9435	2.3333	0.0257	37	169	254	16	315	67
1982-50	8250	6	4.9363	4.994	3.52	2.8232	2.175	0.0258	28	166	175	25	210	40
