Vatnsdalsa River (cumecs)	
4-Sep-72	8.80
5-Sep-72	9.46
6-Sep-72	8.14
7-Sep-72	7.92
8-Sep-72	7.50
9-Sep-72	7.50
10-Sep-72	7.30
11-Sep-72	7.30
12-Sep-72	7.50
13-Sep-72	7.50
14-Sep-72	7.50
15-Sep-72	7.30
16-Sep-72	7.10
17-Sep-72	7.10
18-Sep-72	6.90
19-Sep-72	7.10
20-Sep-72	7.30
21-Sep-72	7.10
22-Sep-72	7.30
23-Sep-72	7.71
24-Sep-72	7.30
25-Sep-72	7.30
26-Sep-72	7.10
27-Sep-72	6.90
28-Sep-72	6.90
29-Sep-72	6.70
30-Sep-72	7.30
1-Oct-72	7.10
2-Oct-72	7.10
3-Oct-72	6.50
4-Oct-72	5.71
5-Oct-72	6.70
6-Oct-72	8.58
7-Oct-72	7.30
8-Oct-72	6.70
9-Oct-72	6.30
10-Oct-72	6.10
11-Oct-72	7.92
12-Oct-72	10.10
13-Oct-72	9.24
14-Oct-72	7.71
15-Oct-72	8.80
16-Oct-72	10.10
17-Oct-72	8.58
18-Oct-72	9.02
19-Oct-72	8.36
20-Oct-72	8.14
21-Oct-72	7.71
22-Oct-72	7.10
23-Oct-72	7.10
24-Oct-72	7.71
25-Oct-72	7.50
26-Oct-72	7.50
27-Oct-72	5.34
28-Oct-72	5.34
29-Oct-72	8.58
30-Oct-72	8.36
31-Oct-72	8.58
1-Nov-72	7.50
2-Nov-72	7.10
3-Nov-72	5.90
4-Nov-72	6.90
5-Nov-72	6.90
6-Nov-72	7.50
7-Nov-72	7.71
8-Nov-72	7.50
9-Nov-72	7.30
10-Nov-72	5.71
11-Nov-72	4.82
12-Nov-72	4.48
13-Nov-72	5.16
14-Nov-72	6.10
15-Nov-72	7.10
16-Nov-72	7.50
17-Nov-72	7.50
18-Nov-72	7.71
19-Nov-72	7.92
20-Nov-72	7.10
21-Nov-72	7.30
22-Nov-72	7.30
23-Nov-72	8.14
24-Nov-72	8.36
25-Nov-72	8.36
26-Nov-72	8.14
27-Nov-72	7.71
28-Nov-72	7.10
29-Nov-72	6.90
30-Nov-72	6.90
1-Dec-72	7.10
2-Dec-72	6.70
3-Dec-72	6.50
4-Dec-72	6.70
5-Dec-72	7.10
6-Dec-72	7.30
7-Dec-72	7.10
8-Dec-72	6.90
9-Dec-72	7.10
10-Dec-72	7.50
11-Dec-72	7.10
12-Dec-72	7.50
13-Dec-72	7.30
14-Dec-72	7.10
15-Dec-72	6.90
16-Dec-72	6.70
17-Dec-72	6.70
18-Dec-72	7.92
19-Dec-72	11.60
20-Dec-72	10.80
21-Dec-72	6.70
22-Dec-72	5.34
23-Dec-72	6.10
24-Dec-72	7.50
25-Dec-72	7.92
26-Dec-72	7.92
27-Dec-72	7.71
28-Dec-72	7.50
29-Dec-72	7.50
30-Dec-72	7.30
31-Dec-72	7.10
1-Jan-73	6.90
2-Jan-73	6.70
3-Jan-73	6.70
4-Jan-73	6.30
5-Jan-73	9.02
6-Jan-73	16.50
7-Jan-73	21.50
8-Jan-73	15.60
9-Jan-73	16.90
10-Jan-73	23.00
11-Jan-73	20.10
12-Jan-73	14.50
13-Jan-73	12.50
14-Jan-73	11.60
15-Jan-73	11.00
16-Jan-73	10.80
17-Jan-73	9.68
18-Jan-73	9.02
19-Jan-73	10.30
20-Jan-73	10.10
21-Jan-73	9.90
22-Jan-73	9.46
23-Jan-73	8.80
24-Jan-73	8.58
25-Jan-73	8.36
26-Jan-73	7.71
27-Jan-73	7.30
28-Jan-73	7.30
29-Jan-73	7.50
30-Jan-73	8.14
31-Jan-73	8.36
1-Feb-73	6.36
2-Feb-73	5.16
3-Feb-73	6.90
4-Feb-73	7.71
5-Feb-73	7.71
6-Feb-73	7.71
7-Feb-73	7.71
8-Feb-73	7.50
9-Feb-73	7.50
10-Feb-73	7.50
11-Feb-73	7.50
12-Feb-73	6.70
13-Feb-73	6.30
14-Feb-73	6.70
15-Feb-73	7.71
16-Feb-73	7.71
17-Feb-73	6.90
18-Feb-73	6.70
19-Feb-73	6.70
20-Feb-73	7.92
21-Feb-73	8.36
22-Feb-73	8.36
23-Feb-73	8.14
24-Feb-73	8.36
25-Feb-73	9.02
26-Feb-73	9.46
27-Feb-73	9.68
28-Feb-73	9.68
1-Mar-73	9.68
2-Mar-73	9.46
3-Mar-73	9.24
4-Mar-73	8.80
5-Mar-73	8.58
6-Mar-73	8.36
7-Mar-73	8.36
8-Mar-73	8.14
9-Mar-73	8.14
10-Mar-73	8.14
11-Mar-73	8.58
12-Mar-73	8.58
13-Mar-73	8.14
14-Mar-73	8.36
15-Mar-73	8.80
16-Mar-73	9.46
17-Mar-73	9.90
18-Mar-73	11.60
19-Mar-73	14.50
20-Mar-73	17.30
21-Mar-73	19.20
22-Mar-73	18.40
23-Mar-73	14.50
24-Mar-73	12.20
25-Mar-73	10.80
26-Mar-73	8.58
27-Mar-73	8.36
28-Mar-73	8.58
29-Mar-73	7.50
30-Mar-73	7.10
31-Mar-73	7.30
1-Apr-73	7.71
2-Apr-73	8.14
3-Apr-73	8.14
4-Apr-73	7.10
5-Apr-73	7.50
6-Apr-73	7.10
7-Apr-73	7.10
8-Apr-73	7.30
9-Apr-73	7.71
10-Apr-73	8.80
11-Apr-73	9.90
12-Apr-73	14.20
13-Apr-73	18.80
14-Apr-73	25.20
15-Apr-73	31.50
16-Apr-73	22.00
17-Apr-73	24.10
18-Apr-73	39.20
19-Apr-73	50.10
20-Apr-73	46.20
21-Apr-73	35.20
22-Apr-73	30.80
23-Apr-73	31.50
24-Apr-73	31.50
25-Apr-73	25.20
26-Apr-73	21.50
27-Apr-73	17.30
28-Apr-73	12.70
29-Apr-73	13.30
30-Apr-73	13.00
1-May-73	12.50
2-May-73	11.60
3-May-73	11.90
4-May-73	13.00
5-May-73	13.00
6-May-73	12.50
7-May-73	11.60
8-May-73	11.60
9-May-73	10.80
10-May-73	10.10
11-May-73	10.10
12-May-73	9.68
13-May-73	9.46
14-May-73	10.30
15-May-73	11.60
16-May-73	13.90
17-May-73	13.90
18-May-73	12.50
19-May-73	11.90
20-May-73	12.20
21-May-73	13.00
22-May-73	13.30
23-May-73	13.00
24-May-73	12.70
25-May-73	11.90
26-May-73	13.30
27-May-73	12.50
28-May-73	11.90
29-May-73	11.60
30-May-73	10.50
31-May-73	10.10
1-Jun-73	9.90
2-Jun-73	9.68
3-Jun-73	9.68
4-Jun-73	9.90
5-Jun-73	10.80
6-Jun-73	11.00
7-Jun-73	10.80
8-Jun-73	10.80
9-Jun-73	10.10
10-Jun-73	9.46
11-Jun-73	9.24
12-Jun-73	9.02
13-Jun-73	8.80
14-Jun-73	8.58
15-Jun-73	9.24
16-Jun-73	10.80
17-Jun-73	11.90
18-Jun-73	12.70
19-Jun-73	11.90
20-Jun-73	11.30
21-Jun-73	11.60
22-Jun-73	12.20
23-Jun-73	12.70
24-Jun-73	11.90
25-Jun-73	11.60
26-Jun-73	11.30
27-Jun-73	11.30
28-Jun-73	11.30
29-Jun-73	11.30
30-Jun-73	11.30
1-Jul-73	11.00
2-Jul-73	10.80
3-Jul-73	10.30
4-Jul-73	10.10
5-Jul-73	9.90
6-Jul-73	9.90
7-Jul-73	9.90
8-Jul-73	9.90
9-Jul-73	9.68
10-Jul-73	9.46
11-Jul-73	9.24
12-Jul-73	9.02
13-Jul-73	9.02
14-Jul-73	8.80
15-Jul-73	8.58
16-Jul-73	8.58
17-Jul-73	8.14
18-Jul-73	8.14
19-Jul-73	8.14
20-Jul-73	8.14
21-Jul-73	8.14
22-Jul-73	8.14
23-Jul-73	8.14
24-Jul-73	8.14
25-Jul-73	8.14
26-Jul-73	7.92
27-Jul-73	7.71
28-Jul-73	7.50
29-Jul-73	7.71
30-Jul-73	7.71
31-Jul-73	7.71
1-Aug-73	7.50
2-Aug-73	7.71
3-Aug-73	7.92
4-Aug-73	7.71
5-Aug-73	8.80
6-Aug-73	9.90
7-Aug-73	8.58
8-Aug-73	8.14
9-Aug-73	7.92
10-Aug-73	7.92
11-Aug-73	7.92
12-Aug-73	7.92
13-Aug-73	8.36
14-Aug-73	7.71
15-Aug-73	7.92
16-Aug-73	7.92
17-Aug-73	7.71
18-Aug-73	7.50
19-Aug-73	7.30
20-Aug-73	7.30
21-Aug-73	7.30
22-Aug-73	7.30
23-Aug-73	7.30
24-Aug-73	7.30
25-Aug-73	7.50
26-Aug-73	7.71
27-Aug-73	7.92
28-Aug-73	7.50
29-Aug-73	7.50
30-Aug-73	7.50
31-Aug-73	7.50
1-Sep-73	7.71
2-Sep-73	7.50
3-Sep-73	7.30
4-Sep-73	7.30
5-Sep-73	7.30
6-Sep-73	7.92
7-Sep-73	7.30
8-Sep-73	7.30
9-Sep-73	7.10
10-Sep-73	7.10
11-Sep-73	7.10
12-Sep-73	6.90
13-Sep-73	6.90
14-Sep-73	6.90
15-Sep-73	6.90
16-Sep-73	6.90
17-Sep-73	6.90
18-Sep-73	7.10
19-Sep-73	7.10
20-Sep-73	7.10
21-Sep-73	6.90
22-Sep-73	6.90
23-Sep-73	7.71
24-Sep-73	8.14
25-Sep-73	8.36
26-Sep-73	8.80
27-Sep-73	7.92
28-Sep-73	7.71
29-Sep-73	7.50
30-Sep-73	7.30
1-Oct-73	8.36
2-Oct-73	8.36
3-Oct-73	8.58
4-Oct-73	7.71
5-Oct-73	7.92
6-Oct-73	7.92
7-Oct-73	8.58
8-Oct-73	9.90
9-Oct-73	7.92
10-Oct-73	7.92
11-Oct-73	7.71
12-Oct-73	7.71
13-Oct-73	7.71
14-Oct-73	6.90
15-Oct-73	6.30
16-Oct-73	6.90
17-Oct-73	6.10
18-Oct-73	6.10
19-Oct-73	6.50
20-Oct-73	7.30
21-Oct-73	6.90
22-Oct-73	7.92
23-Oct-73	8.80
24-Oct-73	8.14
25-Oct-73	6.70
26-Oct-73	7.10
27-Oct-73	6.70
28-Oct-73	6.70
29-Oct-73	10.80
30-Oct-73	13.60
31-Oct-73	11.30
1-Nov-73	8.58
2-Nov-73	8.58
3-Nov-73	7.71
4-Nov-73	6.30
5-Nov-73	5.71
6-Nov-73	7.92
7-Nov-73	11.30
8-Nov-73	9.68
9-Nov-73	8.14
10-Nov-73	7.30
11-Nov-73	6.90
12-Nov-73	5.34
13-Nov-73	6.70
14-Nov-73	6.70
15-Nov-73	6.70
16-Nov-73	6.30
17-Nov-73	7.50
18-Nov-73	8.36
19-Nov-73	8.36
20-Nov-73	8.58
21-Nov-73	8.58
22-Nov-73	9.46
23-Nov-73	9.68
24-Nov-73	8.80
25-Nov-73	8.14
26-Nov-73	7.50
27-Nov-73	6.90
28-Nov-73	6.90
29-Nov-73	6.70
30-Nov-73	6.70
1-Dec-73	6.70
2-Dec-73	9.02
3-Dec-73	9.24
4-Dec-73	8.58
5-Dec-73	7.71
6-Dec-73	7.30
7-Dec-73	7.71
8-Dec-73	7.92
9-Dec-73	8.14
10-Dec-73	7.92
11-Dec-73	7.71
12-Dec-73	7.50
13-Dec-73	6.50
14-Dec-73	7.71
15-Dec-73	8.14
16-Dec-73	8.14
17-Dec-73	9.02
18-Dec-73	8.14
19-Dec-73	7.10
20-Dec-73	6.50
21-Dec-73	6.10
22-Dec-73	5.90
23-Dec-73	5.71
24-Dec-73	5.52
25-Dec-73	5.52
26-Dec-73	5.16
27-Dec-73	4.82
28-Dec-73	4.65
29-Dec-73	4.65
30-Dec-73	4.65
31-Dec-73	4.65
1-Jan-74	4.65
2-Jan-74	4.65
3-Jan-74	4.65
4-Jan-74	4.48
5-Jan-74	5.16
6-Jan-74	5.52
7-Jan-74	5.34
8-Jan-74	5.34
9-Jan-74	4.82
10-Jan-74	4.65
11-Jan-74	4.48
12-Jan-74	4.31
13-Jan-74	4.31
14-Jan-74	4.31
15-Jan-74	4.14
16-Jan-74	3.82
17-Jan-74	3.98
18-Jan-74	3.98
19-Jan-74	4.31
20-Jan-74	5.71
21-Jan-74	6.50
22-Jan-74	6.30
23-Jan-74	5.71
24-Jan-74	5.71
25-Jan-74	5.16
26-Jan-74	4.65
27-Jan-74	4.14
28-Jan-74	3.98
29-Jan-74	4.48
30-Jan-74	4.48
31-Jan-74	4.31
1-Feb-74	4.65
2-Feb-74	4.31
3-Feb-74	3.98
4-Feb-74	3.98
5-Feb-74	3.98
6-Feb-74	3.98
7-Feb-74	3.98
8-Feb-74	3.98
9-Feb-74	3.82
10-Feb-74	3.67
11-Feb-74	3.67
12-Feb-74	3.98
13-Feb-74	3.98
14-Feb-74	3.82
15-Feb-74	3.82
16-Feb-74	3.82
17-Feb-74	4.14
18-Feb-74	5.90
19-Feb-74	4.48
20-Feb-74	3.98
21-Feb-74	3.98
22-Feb-74	3.82
23-Feb-74	3.67
24-Feb-74	3.67
25-Feb-74	3.67
26-Feb-74	4.65
27-Feb-74	3.98
28-Feb-74	4.31
1-Mar-74	4.31
2-Mar-74	3.67
3-Mar-74	4.31
4-Mar-74	6.10
5-Mar-74	7.30
6-Mar-74	7.50
7-Mar-74	7.50
8-Mar-74	8.14
9-Mar-74	10.80
10-Mar-74	16.10
11-Mar-74	14.80
12-Mar-74	12.50
13-Mar-74	9.90
14-Mar-74	8.14
15-Mar-74	6.90
16-Mar-74	6.10
17-Mar-74	5.34
18-Mar-74	5.16
19-Mar-74	4.99
20-Mar-74	4.99
21-Mar-74	4.99
22-Mar-74	4.99
23-Mar-74	5.52
24-Mar-74	6.30
25-Mar-74	7.30
26-Mar-74	6.90
27-Mar-74	5.90
28-Mar-74	5.71
29-Mar-74	5.71
30-Mar-74	8.58
31-Mar-74	31.50
1-Apr-74	33.70
2-Apr-74	18.40
3-Apr-74	11.30
4-Apr-74	16.10
5-Apr-74	32.90
6-Apr-74	45.30
7-Apr-74	54.00
8-Apr-74	25.70
9-Apr-74	18.00
10-Apr-74	15.90
11-Apr-74	15.60
12-Apr-74	14.50
13-Apr-74	15.90
14-Apr-74	35.90
15-Apr-74	37.50
16-Apr-74	29.40
17-Apr-74	27.50
18-Apr-74	30.10
19-Apr-74	27.50
20-Apr-74	30.80
21-Apr-74	29.40
22-Apr-74	22.00
23-Apr-74	20.10
24-Apr-74	35.90
25-Apr-74	36.70
26-Apr-74	32.90
27-Apr-74	22.00
28-Apr-74	18.00
29-Apr-74	15.90
30-Apr-74	15.20
1-May-74	14.80
2-May-74	13.00
3-May-74	12.70
4-May-74	12.50
5-May-74	11.00
6-May-74	9.68
7-May-74	8.80
8-May-74	7.92
9-May-74	7.30
10-May-74	6.90
11-May-74	7.30
12-May-74	10.30
13-May-74	11.00
14-May-74	11.30
15-May-74	11.90
16-May-74	12.50
17-May-74	13.60
18-May-74	12.20
19-May-74	10.80
20-May-74	9.90
21-May-74	9.46
22-May-74	8.80
23-May-74	7.50
24-May-74	7.10
25-May-74	7.71
26-May-74	7.10
27-May-74	6.10
28-May-74	5.34
29-May-74	5.34
30-May-74	5.34
31-May-74	5.52
1-Jun-74	5.52
2-Jun-74	6.30
3-Jun-74	6.70
4-Jun-74	6.50
5-Jun-74	5.90
6-Jun-74	5.71
7-Jun-74	5.90
8-Jun-74	5.71
9-Jun-74	5.52
10-Jun-74	7.30
11-Jun-74	7.50
12-Jun-74	7.10
13-Jun-74	7.30
14-Jun-74	6.70
15-Jun-74	6.90
16-Jun-74	7.30
17-Jun-74	7.50
18-Jun-74	10.80
19-Jun-74	11.60
20-Jun-74	8.58
21-Jun-74	7.92
22-Jun-74	7.10
23-Jun-74	6.70
24-Jun-74	6.50
25-Jun-74	6.10
26-Jun-74	5.90
27-Jun-74	5.90
28-Jun-74	5.71
29-Jun-74	5.52
30-Jun-74	5.52
1-Jul-74	5.52
2-Jul-74	5.90
3-Jul-74	5.90
4-Jul-74	5.71
5-Jul-74	5.52
6-Jul-74	5.52
7-Jul-74	5.34
8-Jul-74	5.34
9-Jul-74	5.52
10-Jul-74	6.50
11-Jul-74	6.50
12-Jul-74	5.71
13-Jul-74	5.34
14-Jul-74	5.16
15-Jul-74	4.99
16-Jul-74	4.82
17-Jul-74	4.82
18-Jul-74	4.99
19-Jul-74	4.82
20-Jul-74	4.82
21-Jul-74	4.82
22-Jul-74	4.82
23-Jul-74	4.82
24-Jul-74	4.65
25-Jul-74	4.48
26-Jul-74	4.48
27-Jul-74	4.31
28-Jul-74	4.31
29-Jul-74	4.14
30-Jul-74	4.14
31-Jul-74	4.31
1-Aug-74	4.48
2-Aug-74	4.31
3-Aug-74	4.31
4-Aug-74	4.31
5-Aug-74	4.99
6-Aug-74	5.71
7-Aug-74	6.30
8-Aug-74	6.10
9-Aug-74	6.10
10-Aug-74	5.90
11-Aug-74	5.71
12-Aug-74	5.52
13-Aug-74	5.52
14-Aug-74	5.52
15-Aug-74	5.52
16-Aug-74	5.52
17-Aug-74	5.34
18-Aug-74	5.34
19-Aug-74	5.52
20-Aug-74	5.52
21-Aug-74	5.52
22-Aug-74	5.34
23-Aug-74	5.34
24-Aug-74	5.52
25-Aug-74	5.34
26-Aug-74	5.52
27-Aug-74	5.52
28-Aug-74	5.34
29-Aug-74	5.34
30-Aug-74	5.34
31-Aug-74	5.34
1-Sep-74	5.71
2-Sep-74	5.90
3-Sep-74	6.30
4-Sep-74	6.90
5-Sep-74	7.50
6-Sep-74	6.50
7-Sep-74	6.10
8-Sep-74	6.10
9-Sep-74	5.90
10-Sep-74	6.10
11-Sep-74	6.10
12-Sep-74	5.90
13-Sep-74	6.50
14-Sep-74	6.50
15-Sep-74	6.10
16-Sep-74	5.90
17-Sep-74	5.90
18-Sep-74	5.71
19-Sep-74	5.90
20-Sep-74	5.90
21-Sep-74	5.71
22-Sep-74	4.99
23-Sep-74	4.65
24-Sep-74	5.16
25-Sep-74	5.34
26-Sep-74	5.34
27-Sep-74	4.65
28-Sep-74	4.99
29-Sep-74	5.71
30-Sep-74	5.34
1-Oct-74	5.34
2-Oct-74	5.34
3-Oct-74	5.34
4-Oct-74	4.99
5-Oct-74	5.34
6-Oct-74	5.34
7-Oct-74	5.34
8-Oct-74	5.34
9-Oct-74	5.52
10-Oct-74	5.34
11-Oct-74	5.52
12-Oct-74	5.71
13-Oct-74	6.50
14-Oct-74	7.71
15-Oct-74	6.90
16-Oct-74	6.50
17-Oct-74	6.70
18-Oct-74	6.10
19-Oct-74	5.90
20-Oct-74	6.10
21-Oct-74	5.90
22-Oct-74	5.71
23-Oct-74	7.92
24-Oct-74	7.71
25-Oct-74	7.10
26-Oct-74	7.92
27-Oct-74	5.34
28-Oct-74	5.16
29-Oct-74	8.14
30-Oct-74	10.10
31-Oct-74	7.92
1-Nov-74	7.30
2-Nov-74	6.90
3-Nov-74	6.90
4-Nov-74	6.90
5-Nov-74	8.58
6-Nov-74	7.30
7-Nov-74	6.90
8-Nov-74	7.30
9-Nov-74	6.30
10-Nov-74	5.16
11-Nov-74	6.10
12-Nov-74	5.52
13-Nov-74	4.99
14-Nov-74	5.34
15-Nov-74	5.34
16-Nov-74	5.34
17-Nov-74	5.16
18-Nov-74	5.71
19-Nov-74	5.52
20-Nov-74	5.52
21-Nov-74	5.16
22-Nov-74	4.82
23-Nov-74	5.52
24-Nov-74	6.10
25-Nov-74	5.90
26-Nov-74	5.71
27-Nov-74	5.52
28-Nov-74	5.16
29-Nov-74	4.99
30-Nov-74	4.48
1-Dec-74	4.82
2-Dec-74	5.16
3-Dec-74	5.16
4-Dec-74	5.16
5-Dec-74	5.16
6-Dec-74	5.16
7-Dec-74	4.82
8-Dec-74	4.65
9-Dec-74	3.82
10-Dec-74	4.14
11-Dec-74	4.65
12-Dec-74	4.65
13-Dec-74	4.31
14-Dec-74	4.31
15-Dec-74	5.16
16-Dec-74	5.16
17-Dec-74	5.16
18-Dec-74	5.16
19-Dec-74	5.16
20-Dec-74	4.99
21-Dec-74	4.65
22-Dec-74	5.16
23-Dec-74	5.16
24-Dec-74	5.16
25-Dec-74	5.16
26-Dec-74	5.16
27-Dec-74	5.16
28-Dec-74	5.16
29-Dec-74	5.16
30-Dec-74	5.34
31-Dec-74	5.34
