Part Number:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
Jan-95,37,18,2,6,1140,7,13,0,0,3,2,0,0,9,8,0,0,1,97,0,0,3,4,0,0,0,1,6,2,4,0,7,1,39,21,5,2,1,0,2,8,1,0,0,67,2,3,2,3,3,0,0,2,6,6,1,4,0,1,0,7,1,11,5,1,2,7,4,18,1,0,6,15,1,1,2,17,45,11,2,3,0,7,0,53,1,1,0,928,0,7,0,9,1,16,0,17,2,4,18,2,0,1,1,0,0,12,0,0,0,0,40,0,5,13,5,0,10,6,5,6,0,78,0,5,1,2,1,1,0,0,2,2,16,6,19,1,0,0,4,4,4,0,11,4,0,2,0,0,1,0,0,20,0,0,0,89,0,0,0,7,3,9,11,0,17,7,0,6,3,0,0,0,0,1,0,0,2,1,0,1,0,0,2,0,4,1,1,0,1,2,7,5,2,3,0,1,0,3,8
Feb-95,2,13,0,22,1000,21,2,12,0,0,3,0,0,5,8,0,0,5,64,2,1,6,4,1,0,1,0,4,0,2,0,9,0,50,22,8,0,0,0,3,18,1,0,0,26,8,1,0,0,1,0,4,0,6,8,0,1,0,4,2,2,0,11,3,1,1,1,12,31,0,1,2,19,0,0,0,38,15,11,0,2,0,6,4,19,4,3,0,24,1,5,2,10,2,11,13,11,0,3,43,3,0,3,3,0,2,6,0,0,0,0,36,1,2,22,1,1,17,4,11,6,0,54,2,8,2,2,0,2,0,0,3,1,8,7,20,1,2,0,0,5,1,0,16,2,0,1,1,2,0,0,0,38,0,2,0,51,0,2,0,4,4,6,13,1,19,12,1,3,1,0,0,0,0,0,1,2,4,1,1,1,4,0,0,1,1,4,1,0,1,1,6,1,0,3,6,1,0,1,6
Mar-95,52,21,1,46,1002,16,6,1,0,1,3,1,0,5,7,5,0,4,75,0,1,7,6,1,0,1,2,9,2,4,3,8,1,70,10,2,1,0,0,3,35,0,0,0,15,0,2,2,1,0,0,2,1,1,4,0,8,0,4,0,0,0,10,6,0,4,1,11,28,0,1,1,10,0,4,0,32,110,21,1,4,0,4,2,25,1,6,0,96,1,9,0,10,1,31,20,13,1,13,9,3,0,0,2,0,2,18,0,0,0,0,61,1,2,19,1,0,21,3,10,7,0,52,0,9,2,6,2,1,0,0,2,3,9,10,4,0,1,0,1,4,1,0,6,0,0,0,1,1,0,0,0,4,0,1,0,54,0,8,0,9,6,3,14,0,16,8,0,6,0,0,0,2,0,0,0,2,3,1,1,0,0,1,1,2,1,0,0,0,2,1,11,6,2,5,0,0,0,2,3
Apr-95,8,14,0,30,1000,12,11,0,0,1,4,2,0,3,5,1,0,1,54,1,2,3,2,0,0,1,1,7,0,2,0,7,7,33,7,1,0,0,1,2,22,0,2,0,38,5,3,1,0,1,0,2,0,3,4,0,4,1,0,1,1,3,4,5,0,1,4,3,29,0,0,0,4,0,3,1,21,95,15,0,1,1,3,3,10,1,2,0,16,1,4,0,3,4,16,6,15,0,6,10,2,0,0,1,0,1,8,0,0,1,0,22,0,1,17,9,0,4,5,11,5,0,87,2,9,0,1,2,0,0,0,0,0,11,4,6,1,0,0,2,1,6,0,14,2,0,0,2,1,0,0,0,13,0,0,2,44,0,2,2,4,3,7,8,0,17,11,1,1,0,0,0,0,0,2,0,1,0,0,0,4,8,1,0,0,1,1,1,1,1,3,7,3,1,5,2,1,0,1,9
May-95,13,15,0,28,1200,7,4,1,0,0,5,0,0,5,10,1,0,5,25,1,3,9,8,1,0,1,0,9,1,0,1,11,2,48,12,0,1,0,0,5,25,0,0,1,34,3,1,0,1,0,1,0,0,3,9,0,4,1,1,0,4,0,8,3,0,5,16,4,29,1,1,4,15,1,4,1,25,50,23,1,7,1,5,2,26,2,1,0,12,1,8,1,16,1,25,15,7,3,7,9,0,0,1,1,1,4,17,0,0,0,1,77,1,3,7,6,1,10,3,12,7,0,48,4,20,1,3,2,2,0,0,0,2,8,6,17,1,1,1,6,8,3,0,30,4,0,2,0,5,0,1,0,19,0,0,0,38,0,4,0,4,4,3,11,1,19,14,2,5,0,1,0,0,0,0,0,1,5,1,2,2,13,0,0,0,1,3,1,0,5,2,11,0,1,6,3,0,0,1,15
Jun-95,12,11,1,4,1000,21,9,2,0,0,3,0,0,3,1,9,0,2,70,1,1,8,11,1,0,0,1,5,0,4,0,11,2,33,11,8,0,2,0,1,27,2,0,0,23,5,0,0,1,1,0,3,1,7,5,2,2,2,0,0,2,3,2,4,0,3,0,1,17,0,0,3,7,2,1,1,18,85,18,0,2,2,2,1,19,1,1,0,16,0,8,1,6,1,12,9,14,3,6,16,2,1,5,0,0,4,10,0,0,0,1,26,1,1,14,5,0,8,2,12,7,1,47,2,10,1,4,2,3,0,0,1,2,8,5,28,1,1,1,5,0,1,1,18,2,3,3,1,3,0,1,0,4,0,0,1,43,0,10,0,2,2,3,12,0,19,7,1,1,1,1,1,2,1,0,0,0,7,0,1,1,9,0,0,1,1,4,0,0,3,3,4,3,0,3,6,2,0,0,4
Jul-95,2,13,1,18,780,15,2,0,0,1,4,0,0,4,6,1,0,0,48,4,0,6,4,0,0,0,1,8,1,5,0,13,0,29,14,5,0,0,0,2,31,0,0,1,24,2,0,0,4,2,0,2,2,2,4,3,7,1,0,0,1,1,6,4,0,2,5,5,44,1,0,3,17,4,2,3,14,60,21,0,2,0,1,3,24,2,1,0,44,0,3,0,5,1,12,6,14,1,6,20,4,0,1,2,0,4,12,0,0,0,0,50,2,5,7,3,0,10,2,12,18,0,49,4,19,3,3,2,1,0,0,2,1,9,4,7,0,1,1,3,8,0,0,2,0,3,2,1,0,0,0,0,4,0,0,0,102,1,18,0,3,2,5,10,1,18,6,1,3,0,0,0,0,0,1,1,0,2,1,1,2,2,0,1,1,3,1,0,0,2,3,12,4,2,3,0,0,0,0,8
Aug-95,16,12,2,65,972,26,2,2,0,3,3,1,0,0,8,2,0,1,68,0,0,3,7,0,0,0,1,2,0,1,0,4,0,47,12,8,0,1,0,1,21,1,2,0,51,4,3,1,2,3,0,0,0,6,7,3,0,0,1,1,4,1,6,1,0,0,9,4,23,1,0,3,8,0,1,1,12,105,26,1,3,0,2,0,42,3,2,0,16,2,5,0,7,1,12,15,16,0,5,21,1,0,2,1,0,2,13,1,0,0,0,31,3,1,9,3,0,5,0,8,15,1,62,1,8,1,5,1,0,0,0,1,1,9,6,14,3,1,0,5,14,2,1,4,4,4,1,1,1,0,1,0,12,0,0,1,132,0,20,0,4,4,1,8,0,10,4,1,1,0,1,1,2,0,0,2,0,0,0,0,1,0,0,0,1,2,1,2,2,6,2,5,3,0,2,0,0,2,2,8
Sep-95,9,13,1,15,1000,9,3,2,0,2,2,1,0,6,8,0,0,1,64,1,0,9,6,1,0,0,0,5,0,7,0,8,2,7,9,10,0,0,0,2,14,1,2,0,47,7,3,2,2,1,1,2,1,3,10,1,1,1,1,0,2,1,4,2,0,5,3,4,23,0,0,0,16,1,3,2,7,75,28,0,2,1,1,1,67,2,0,0,28,0,2,0,8,1,18,9,3,0,4,13,0,0,1,0,0,0,9,1,0,0,0,42,5,2,14,7,1,7,1,15,7,2,72,1,8,2,2,3,2,0,0,4,3,4,11,12,1,1,1,5,4,3,0,2,0,0,2,0,5,1,2,0,8,3,0,0,80,0,8,1,6,5,4,3,3,11,10,1,2,1,1,0,0,0,2,0,0,3,0,0,0,6,2,2,0,0,0,0,0,5,1,6,1,3,2,4,1,6,0,5
Oct-95,9,9,0,23,1290,15,2,0,0,2,3,0,1,2,8,2,0,3,35,0,2,6,6,2,0,0,0,7,1,3,0,8,1,23,7,7,0,1,0,1,14,3,2,1,48,4,1,0,1,0,0,5,1,1,8,1,6,0,0,0,1,0,1,1,0,2,1,3,30,2,3,2,16,2,13,1,12,105,26,0,1,5,2,2,19,3,2,0,32,0,0,0,8,1,18,30,12,0,4,11,1,0,0,3,0,1,11,0,0,0,0,41,4,2,10,5,2,13,2,5,11,0,69,7,23,1,0,1,3,0,1,0,0,8,6,10,0,0,1,0,7,1,1,2,3,0,0,1,0,0,0,0,32,3,0,0,112,0,0,0,2,4,2,6,0,15,4,2,1,2,3,0,2,0,3,0,0,5,0,0,4,12,0,0,0,0,2,3,0,5,1,16,5,0,8,5,0,6,3,3
Nov-95,14,6,2,21,660,5,4,0,0,2,4,0,0,2,4,1,0,1,35,0,1,4,6,0,0,0,0,2,2,1,1,8,0,41,9,2,1,1,0,1,16,2,0,0,24,5,4,1,1,1,0,1,0,3,4,0,3,0,0,1,2,0,5,6,0,1,0,4,32,2,3,4,10,2,2,2,23,85,27,0,4,1,3,3,35,2,2,0,12,1,5,0,4,1,14,15,11,0,8,11,1,0,1,0,1,3,20,1,1,1,0,43,1,3,11,5,0,5,1,5,9,0,63,2,12,5,1,2,1,0,0,1,3,8,6,10,0,1,0,0,20,1,1,8,1,0,0,1,2,3,1,0,8,2,0,0,30,0,0,0,3,3,6,8,2,10,5,2,5,0,2,1,1,0,1,0,0,2,0,0,1,10,0,1,0,1,2,1,0,2,1,7,3,0,1,5,0,4,0,3
Dec-95,13,6,0,6,820,4,4,1,0,2,5,0,0,8,3,2,0,1,26,2,2,1,0,2,0,1,2,2,0,2,1,4,0,33,7,7,0,1,0,0,18,2,2,4,21,1,1,0,0,0,0,3,0,1,5,3,3,0,0,1,1,0,4,0,2,0,4,5,14,1,1,3,11,0,1,0,8,55,19,1,5,1,0,1,29,0,0,0,4,0,3,0,6,0,16,8,7,1,3,12,2,0,1,0,1,0,6,0,0,1,2,41,4,0,3,14,0,2,1,18,7,0,29,0,7,5,0,0,2,0,0,2,1,11,7,7,1,1,0,1,4,1,0,6,5,3,0,0,2,0,1,1,2,2,0,0,30,0,4,2,2,2,4,1,1,10,6,1,3,0,0,0,0,0,0,0,0,2,1,0,1,10,0,0,0,1,2,0,1,1,0,7,0,0,0,5,1,8,1,2
Jan-96,19,16,0,45,930,12,0,3,0,5,2,0,0,5,4,1,93,1,51,1,1,3,10,2,0,0,1,4,1,4,2,7,0,31,4,6,0,0,0,2,19,0,0,2,39,7,5,0,2,1,0,0,1,0,18,1,3,0,1,1,2,2,7,1,0,2,2,6,33,2,0,5,15,3,2,1,33,105,43,0,4,0,1,2,37,3,0,0,32,1,2,0,6,1,14,6,10,0,6,3,1,0,1,0,0,3,11,1,0,0,0,40,7,0,7,6,0,14,1,8,9,0,26,4,9,0,1,2,1,0,0,1,2,7,2,23,2,2,2,3,10,2,0,12,2,3,1,0,2,0,4,1,8,4,2,0,66,0,20,0,1,6,7,13,0,8,7,0,5,2,1,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,1,1,0,4,2,7,1,0,3,1,0,10,1,13
Feb-96,0,12,0,24,480,8,9,0,0,1,4,0,0,4,12,1,4,1,51,0,0,6,10,1,0,0,0,5,0,1,2,8,0,23,13,7,2,1,1,1,18,3,1,0,32,5,2,2,0,2,0,6,1,1,7,1,1,0,0,3,4,0,3,3,0,6,6,6,27,0,3,3,13,3,4,1,44,125,26,0,2,0,2,2,26,0,0,0,8,0,3,0,10,1,24,3,5,0,7,6,2,0,2,0,1,1,17,1,1,0,2,44,10,2,5,6,3,13,2,8,9,0,86,2,6,0,1,1,2,0,0,5,0,7,6,11,0,3,0,1,8,2,0,7,3,3,0,1,1,0,1,0,31,3,0,0,12,1,24,3,4,3,3,3,1,10,12,1,3,0,0,0,3,0,0,1,0,4,0,0,2,14,0,0,0,5,3,2,1,4,2,7,1,1,1,10,0,8,0,5
Mar-96,10,4,1,25,582,9,3,2,0,0,1,1,0,1,11,0,1,0,27,2,0,9,8,0,0,0,0,4,0,5,0,5,1,28,7,2,1,4,1,1,34,1,1,1,26,2,3,0,0,1,2,0,0,2,10,0,1,1,2,0,0,2,2,1,0,1,5,3,21,0,0,4,10,3,1,2,56,100,30,1,8,3,0,3,15,0,1,0,20,0,6,0,10,0,10,0,12,2,3,6,0,0,2,0,0,1,8,0,0,0,0,43,5,1,3,7,0,12,2,13,8,0,73,1,15,2,2,1,0,1,1,0,5,3,9,12,1,1,1,0,8,2,0,0,1,6,1,1,0,1,0,3,5,1,1,0,6,0,4,2,3,6,3,1,0,13,8,0,6,0,3,0,0,0,3,0,0,4,0,0,0,4,1,0,0,1,2,3,0,3,1,9,2,2,1,4,0,4,0,14
Apr-96,16,19,1,36,1140,8,2,3,0,1,5,0,0,3,6,2,2,0,48,0,0,2,5,0,1,1,1,1,0,8,3,4,0,31,9,7,0,0,1,3,17,1,1,5,35,5,2,0,1,0,0,2,0,2,3,0,1,0,1,0,6,0,2,2,1,5,2,5,17,3,1,1,13,1,1,1,47,100,24,0,4,1,1,4,25,1,0,0,12,1,5,1,13,1,19,10,10,1,3,9,0,0,1,1,0,3,14,1,0,1,0,40,3,1,5,7,1,7,2,8,5,1,59,1,4,5,0,0,1,1,0,1,5,3,5,18,1,0,0,5,2,5,1,5,2,3,0,1,1,1,3,2,10,0,0,0,56,0,18,1,6,4,7,4,0,27,15,0,4,1,0,1,1,1,0,1,1,3,0,1,2,20,0,2,1,2,0,2,0,1,0,9,1,0,2,11,0,2,2,11
May-96,26,7,2,30,870,12,5,1,0,0,0,0,0,3,8,1,0,1,25,1,0,7,5,0,1,0,1,1,1,5,1,13,0,22,11,14,1,2,0,3,23,1,0,0,65,3,0,1,1,0,0,4,3,1,13,2,3,1,4,0,4,0,5,0,0,5,1,8,26,0,0,3,12,3,4,1,41,50,28,1,3,0,2,1,20,1,4,0,152,1,2,0,5,0,10,20,12,0,1,14,2,0,1,0,1,0,13,0,0,1,2,42,5,0,8,8,1,6,3,9,11,0,80,0,15,3,7,1,2,1,1,0,4,7,4,10,2,0,0,1,9,0,1,14,0,0,0,1,0,0,2,0,16,3,0,1,48,0,20,1,7,7,3,3,1,19,13,2,1,0,1,0,2,2,0,0,1,5,0,0,2,16,1,3,0,3,2,2,1,1,0,4,3,2,2,13,1,5,2,7
Jun-96,0,7,2,31,630,12,5,1,0,1,8,0,0,3,6,3,0,2,60,1,0,7,1,1,0,1,2,3,0,3,1,7,1,61,15,6,1,0,0,7,20,4,0,1,32,8,2,0,1,0,0,6,0,1,10,2,3,0,1,0,3,3,3,3,1,2,2,1,27,0,1,2,13,0,2,2,23,20,25,0,0,0,2,0,14,2,3,0,20,0,3,0,11,0,21,14,9,1,6,17,3,0,1,0,0,3,9,1,0,0,1,47,1,2,4,10,0,5,3,14,11,0,70,1,12,0,1,0,1,0,1,1,4,6,3,17,0,0,0,1,4,1,0,15,1,0,1,2,2,1,2,2,6,3,0,0,67,0,16,2,5,6,1,4,0,8,9,2,3,0,0,0,0,0,1,1,1,1,1,1,2,0,1,3,1,2,4,1,0,1,2,5,2,1,1,14,1,3,2,12
Jul-96,11,4,2,28,1350,26,3,1,0,0,6,0,0,10,2,0,0,1,26,0,2,7,4,1,6,0,1,5,0,3,2,17,1,36,16,10,1,0,0,2,27,2,0,0,17,4,3,0,1,2,0,5,1,0,11,2,2,2,7,1,2,0,5,3,0,1,5,6,40,1,4,4,11,1,5,0,33,50,41,1,2,3,4,0,25,0,0,0,32,0,1,0,10,0,16,19,7,1,8,33,2,0,1,0,0,2,17,0,1,2,0,57,4,1,6,14,0,5,2,8,7,2,66,3,10,1,2,4,3,0,0,1,5,10,8,20,1,2,1,1,8,1,2,7,6,0,1,1,1,0,1,0,6,5,0,0,60,0,8,0,5,6,2,3,1,20,10,2,6,0,2,2,1,0,1,0,0,3,1,0,1,0,1,0,1,0,5,0,1,3,1,10,2,1,0,0,0,4,2,7
Aug-96,9,5,1,19,1110,12,6,1,0,0,5,0,0,4,7,0,0,0,41,2,0,7,8,1,2,0,1,2,1,1,3,7,4,48,12,8,1,1,0,1,19,0,0,2,51,4,0,0,1,0,0,4,1,1,9,3,1,1,2,0,5,0,4,1,1,6,1,2,27,1,0,0,10,1,5,3,24,55,41,1,6,2,5,1,19,0,1,0,8,1,0,0,4,0,18,6,8,0,10,27,0,1,1,0,1,2,9,1,1,0,1,48,5,3,2,11,0,7,2,3,5,0,65,1,16,1,2,4,3,0,0,2,5,10,3,19,1,1,0,4,14,1,1,5,0,0,1,1,1,0,4,0,0,3,0,0,74,0,22,0,1,2,1,5,0,12,9,1,0,0,0,1,2,0,1,0,0,4,1,2,0,0,0,2,2,0,2,0,0,7,1,5,3,0,3,1,0,8,1,4
Sep-96,8,18,0,5,1000,6,5,2,0,1,3,0,0,5,4,3,0,0,32,3,4,4,4,0,1,1,1,5,1,1,3,9,0,61,16,10,0,2,0,5,10,1,1,0,16,5,2,2,0,3,0,4,1,0,5,1,4,0,4,0,2,1,6,5,0,2,7,3,17,2,1,3,10,4,1,0,18,140,40,0,0,1,2,1,17,1,1,1,20,1,0,1,8,0,27,9,10,1,2,24,2,0,1,1,0,3,13,0,0,0,0,45,0,1,3,7,0,11,3,6,10,3,50,3,16,2,2,1,7,0,0,3,1,7,4,8,2,1,2,3,12,0,0,5,1,1,1,0,2,1,0,0,1,7,0,0,92,1,4,0,4,1,5,3,0,15,4,1,2,1,1,0,1,0,0,0,0,3,1,2,1,2,0,0,0,0,1,1,0,5,1,6,1,1,0,1,0,12,1,5
Oct-96,8,8,0,33,240,20,5,1,0,0,2,0,0,6,5,1,1,1,37,0,2,7,2,0,0,2,0,3,0,2,1,8,0,43,9,8,3,1,0,3,24,2,2,7,47,4,2,2,0,4,0,2,2,0,16,0,2,0,0,0,2,0,12,3,0,0,4,1,20,2,1,2,19,0,8,1,20,155,43,0,1,1,1,1,26,0,2,3,50,2,2,0,7,0,23,3,6,2,6,20,5,2,1,1,0,0,9,0,1,0,0,48,3,1,1,14,1,11,5,13,5,1,41,2,10,1,2,3,5,0,0,0,5,3,4,14,1,1,2,5,12,0,1,12,5,0,0,1,0,2,2,1,9,4,0,0,8,0,6,0,5,9,5,6,0,14,17,1,3,0,0,1,0,2,0,0,0,0,1,2,1,0,0,1,1,0,3,1,0,6,0,16,1,2,4,2,0,7,2,4
